participant_id	ant_nc_mn_ac	ant_ii_std_rt	ant_mean_rtinc	ant_cc_mn_rt	ant_in_trials	ant_ii_std_ac	ant_ic_std_rt	ant_ic_trials	ant_sd_rtcon	ant_mean_accomierrcon	ant_conflict_rt_effect	ant_nn_trials	ant_cn_std_ac	ant_ni_std_ac	ant_sd_rtinc	ant_mean_accomierrinc	ant_in_std_ac	ant_in_std_rt	ant_cc_mn_ac	ant_ci_trials	ant_cn_std_rt	ant_conflict_acc_effect	ant_ci_std_rt	ant_ii_trials	ant_cn_mn_rt	ant_mean_rtcon	ant_nc_trials	ant_median_accinc	ant_ci_mn_ac	ant_median_accneu	ant_median_rtneu	ant_ni_std_rt	ant_in_mn_rt	ant_cc_trials	ant_mean_rtneu	ant_nc_std_rt	ant_nn_std_ac	ant_cn_trials	ant_ic_mn_rt	ant_median_acccon	ant_ic_mn_ac	ant_nn_mn_ac	ant_cc_std_rt	ant_median_rtcon	ant_ni_mn_ac	ant_mean_acccomerrinc	ant_median_rtinc	ant_in_mn_ac	ant_sd_rtneu	ant_ci_std_ac	ant_cc_std_ac	ant_ic_std_ac	ant_ci_mn_rt	ant_ni_trials	ant_cn_mn_ac	ant_nn_mn_rt	ant_nn_std_rt	ant_mean_acccomerrneu	ant_ii_mn_rt	ant_ni_mn_rt	ant_ii_mn_ac	ant_nc_std_ac	ant_nc_mn_rt	ant_mean_accomierrneu	ant_mean_acccomerrcon
sub-10159	1	53.604815	696.92	623.2857143	19	0	90.3944896	19	83.0587435	n/a	101.52	9	0	0	104.8743591	n/a	0	93.3810655	1	22	96.0762718	0	111.4439369	7	611.375	595.4	18	1	1	1	576.5	99.2935043	601.3684211	7	593.46	76.4028068	0	16	599.0526316	1	1	1	96.6173109	576	1	0.9791667	685.5	1	93.7463664	0	0	0	705.3181818	16	1	559.2222222	93.2480265	1	697.1428571	701.5	1	0	587.7222222	n/a	1
sub-10171	1	62.6686613	573.58	454.9	19	0	56.466952	16	51.4323904	n/a	101.75	6	0	0	97.9893249	n/a	0	57.2501947	1	19	99.0587158	0	83.8843537	9	485.6875	471.83	20	1	1	1	464	114.9120575	481.8421053	10	474.9	54.2334137	0	16	472.125	1	1	1	42.6261526	467	1	1	565.5	1	70.9051628	0	0	0	566.8421053	15	1	453.3333333	44.4822062	1	568.8888889	607.9333333	1	0	480	n/a	1
sub-10189	1	147.8115354	480.1	480.375	11	0	101.6839131	11	90.6764081	n/a	13.31	10	0	0	98.3634683	n/a	0	75.0030302	1	11	69.6491206	0	99.6170851	4	479	466.79	5	1	1	1	443.5	98.8971327	460.6363636	8	463.25	74.3559009	0	11	496.2727273	1	1	1	74.3446367	440.5	1	0.75	476	1	85.5190659	0	0	0	480.8181818	14	1	461.5	119.1024302	0.875	584.75	501.2142857	1	0	433.6	n/a	0.7916667
sub-10193	1	76.5113204	522.92	486.125	14	0	108.3496832	14	87.5289618	n/a	36.92	9	0	0	83.5766519	n/a	0	58.6065293	1	14	57.1838116	0	68.9274184	8	452.1052632	486	19	1	1	1	471	67.0757148	477.4285714	8	474.08	71.6387951	0	19	537.5	1	1	1	67.1659725	472	1	0.875	528	1	63.376898	0	0	0	543.7142857	12	1	469.7777778	44.4234673	0.9791667	549.625	507.6666667	1	0	448.6842105	n/a	1
sub-10206	1	65.812866	557.52	538.8888889	17	0	78.0868672	18	91.5160118	n/a	48.25	7	0	0	86.1265742	n/a	0	70.1300263	1	19	67.1020217	0	95.0925065	4	456.2857143	509.27	17	1	1	1	488.5	84.3342708	509.2941176	9	491.4	91.9079223	0	14	509.5	1	1	1	90.1310774	495	1	0.8958333	557.5	1	72.7717912	0	0	0	561.1578947	13	1	485.5714286	87.5040135	0.9583333	570	561.4615385	1	0	483.2352941	n/a	0.9791667
sub-10217	1	68.0636957	518.38	453.2857143	19	0	103.879455	18	87.3642387	n/a	82.23	7	0	0	99.9186105	n/a	0	82.4924593	1	19	86.9817462	0	104.932922	6	436.1428571	436.15	16	1	1	1	433	109.1691107	465.3157895	7	452.4	94.5117056	0	14	437.3333333	1	1	1	28.9177816	415	1	0.9791667	506	1	77.8008203	0	0	0	521.8421053	19	1	446.2857143	76.7544011	0.9791667	530.3333333	507.6842105	1	0	444.0625	n/a	0.9791667
sub-10225	1	115.9383303	575.02	490.3	20	0	80.7561291	15	84.2716579	n/a	92.25	8	0	0	102.1399727	n/a	0	75.3064616	1	13	42.1684873	0	94.4108588	8	502.7857143	482.77	13	1	1	1	503	76.6658178	478.7	10	492.31	108.1130107	0	14	479.5333333	1	1	1	92.0266266	468	1	0.9583333	567.5	1	69.5988983	0	0	0	620.9230769	21	1	493.5	81.228074	0.9791667	578.375	564.3809524	1	0	479.3846154	n/a	1
sub-10227	1	133.7807908	684.15	588.9166667	19	0	69.3980925	15	72.3380038	n/a	83.13	7	0	0	104.2541881	n/a	0	85.3355263	1	14	71.2988721	0	77.0658346	5	609.9375	601.02	15	1	1	1	595	100.7001915	578.5263158	12	600.63	65.102849	0	16	620.6666667	1	1	1	83.5022682	589	1	1	673	1	82.8473667	0	0	0	633.2857143	21	1	588.8571429	92.2937856	1	705.6	709.8571429	1	0	592.3333333	n/a	1
sub-10228	1	36.7491497	643.1	625.7272727	14	0	100.4369301	13	156.9361346	n/a	89.77	9	0	0	160.8420977	n/a	0	92.8959006	1	11	98.1336957	0	81.4028143	8	511.8888889	553.33	15	1	1	1	535.5	207.8127515	527.4285714	11	540.73	79.3625196	0	18	533.9230769	1	1	1	277.7708015	527.5	1	0.875	606.5	1	101.3711822	0	0	0	603.7272727	17	1	588.3333333	115.4426264	1	630.25	726.5294118	1	0	514.5333333	n/a	0.9791667
sub-10235	1	47.4125762	568.21	531.6666667	17	0	75.237402	15	98.1178528	n/a	43.9	5	0	0	92.0845953	n/a	0	65.1462156	1	13	63.6229642	0	78.8040413	7	487.25	524.31	19	1	1	1	472	81.9114127	494.1764706	6	487.58	88.1157532	0	20	491.3333333	1	1	1	80.8768611	516.5	1	0.875	583.5	1	61.6941093	0	0	0	568.9230769	19	1	458.6	33.9160729	1	574.5714286	592.5789474	1	0	529.0526316	n/a	1
sub-10249	1	63.266895	711.44	701.8	14	0	267.0386282	20	246.232286	n/a	51.4	11	0	0	134.6143279	n/a	0	153.5802221	1	20	110.2956588	0	160.2921346	5	634.4117647	660.04	17	1	1	1	608	64.9827393	635.5	5	636.45	240.0833495	0	17	677.55	1	1	1	151.2752458	598.5	1	0.9791667	705.5	1	154.3730844	0	0	0	707.1	13	1	630.6363636	102.4570864	1	656.8	716.6153846	1	0	648.5294118	n/a	1
sub-10269	1	90.6705181	610.98	556.6666667	15	0	72.2467345	19	82.3407123	n/a	33.56	9	0	0	84.9839759	n/a	0	87.4617195	1	20	65.3906249	0	84.999613	7	575.0588235	577.42	18	1	1	1	583.5	79.8625536	599.5333333	6	576.06	99.0170811	0	17	586.5789474	1	1	1	38.5157976	578	1	0.9583333	617	1	82.1530503	0	0	0	616.25	14	1	541.3333333	82.8975271	1	594.8571429	626.7857143	1	0	565.1666667	n/a	1
