participant_id	bilingual	languagespeaking
sub-10159	N	English
sub-10171	N	English
sub-10189	N	English
sub-10193	Y	English
sub-10206	Y	English
sub-10217	N	English
sub-10225	N	English
sub-10227	N	English
sub-10228	Y	English
sub-10235	Y	English
sub-10249	N	English
sub-10269	Y	English
sub-10271	Y	English
sub-10273	N	English
sub-10274	N	English
sub-10280	Y	English
sub-10290	N	English
sub-10292	N	English
sub-10299	N	English
sub-10304	N	English
sub-10316	Y	English
sub-10321	n/a	English
sub-10325	n/a	English
sub-10329	N	English
sub-10339	N	English
sub-10340	N	English
sub-10345	N	English
sub-10347	Y	English
sub-10356	N	English
sub-10361	Y	English
sub-10365	Y	English
sub-10376	N	English
sub-10377	N	English
sub-10388	Y	English
sub-10428	N	English
sub-10429	Y	English
sub-10438	N	English
sub-10440	N	English
sub-10448	N	English
sub-10455	Y	English
sub-10460	N	English
sub-10471	N	English
sub-10478	Y	English
sub-10487	Y	English
sub-10492	N	English
sub-10501	Y	English
sub-10506	N	English
sub-10517	Y	English
sub-10523	n/a	English
sub-10524	N	English
sub-10525	N	English
sub-10527	Y	English
sub-10530	N	English
sub-10557	N	English
sub-10565	N	English
sub-10570	N	English
sub-10575	N	English
sub-10624	N	English
sub-10629	N	English
sub-10631	Y	English
sub-10638	Y	English
sub-10668	N	English
sub-10672	Y	English
sub-10674	N	English
sub-10678	Y	English
sub-10680	N	English
sub-10686	Y	English
sub-10692	N	English
sub-10696	Y	English
sub-10697	N	English
sub-10704	N	English
sub-10707	Y	English
sub-10708	Y	English
sub-10719	N	English
sub-10724	N	English
sub-10746	N	English
sub-10762	N	English
sub-10779	N	English
sub-10785	Y	English
sub-10788	Y	English
sub-10844	N	English
sub-10855	Y	English
sub-10871	N	English
sub-10877	Y	English
sub-10882	N	English
sub-10891	Y	English
sub-10893	Y	English
sub-10912	Y	English
sub-10934	Y	Spanish
sub-10940	N	English
sub-10948	Y	Spanish
sub-10949	Y	English
sub-10958	Y	English
sub-10963	Y	Spanish
sub-10968	Y	English
sub-10971	Y	Spanish
sub-10975	N	English
sub-10977	Y	Spanish
sub-10987	Y	English
sub-10998	Y	English
sub-11019	N	English
sub-11030	N	English
sub-11044	N	English
sub-11050	N	English
sub-11052	n/a	English
sub-11059	n/a	English
sub-11061	N	English
sub-11062	N	English
sub-11066	N	English
sub-11067	N	English
sub-11068	N	English
sub-11077	N	English
sub-11082	Y	English
sub-11088	N	English
sub-11090	n/a	English
sub-11097	N	English
sub-11098	Y	Spanish
sub-11104	n/a	English
sub-11105	Y	English
sub-11106	N	English
sub-11108	Y	English
sub-11112	Y	Spanish
sub-11121	N	English
sub-11122	Y	Spanish
sub-11128	n/a	English
sub-11131	N	English
sub-11142	Y	English
sub-11143	N	English
sub-11149	N	English
sub-11156	Y	English
sub-50004	N	English
sub-50005	N	English
sub-50006	N	English
sub-50007	N	English
sub-50008	Y	English
sub-50010	N	English
sub-50013	N	English
sub-50014	Y	English
sub-50015	Y	English
sub-50016	Y	English
sub-50020	Y	English
sub-50021	N	English
sub-50022	Y	English
sub-50023	Y	English
sub-50025	Y	English
sub-50027	N	English
sub-50029	N	English
sub-50032	N	English
sub-50033	Y	English
sub-50034	N	English
sub-50035	N	English
sub-50036	N	English
sub-50038	Y	English
sub-50043	Y	English
sub-50047	Y	English
sub-50048	Y	English
sub-50049	N	English
sub-50050	Y	English
sub-50051	Y	English
sub-50052	Y	English
sub-50053	Y	Spanish
sub-50054	Y	English
sub-50055	N	English
sub-50056	Y	English
sub-50058	Y	English
sub-50059	Y	English
sub-50060	N	English
sub-50061	Y	Spanish
sub-50064	Y	English
sub-50066	Y	English
sub-50067	Y	English
sub-50069	N	English
sub-50073	N	English
sub-50075	Y	English
sub-50076	Y	English
sub-50077	N	English
sub-50080	N	English
sub-50081	Y	English
sub-50083	N	English
sub-50085	Y	English
sub-60001	N	English
sub-60005	N	English
sub-60006	Y	English
sub-60008	N	English
sub-60010	N	English
sub-60011	N	English
sub-60012	Y	English
sub-60014	N	English
sub-60015	N	English
sub-60016	Y	English
sub-60017	N	English
sub-60020	N	English
sub-60021	N	English
sub-60022	N	English
sub-60028	Y	English
sub-60030	N	English
sub-60033	N	English
sub-60036	N	English
sub-60037	Y	English
sub-60038	N	English
sub-60042	N	English
sub-60043	N	English
sub-60045	Y	Spanish
sub-60046	N	English
sub-60048	N	English
sub-60049	N	English
sub-60051	Y	English
sub-60052	N	English
sub-60053	N	English
sub-60055	N	English
sub-60056	Y	English
sub-60057	N	English
sub-60060	N	English
sub-60062	N	English
sub-60065	N	English
sub-60066	Y	English
sub-60068	Y	English
sub-60070	N	English
sub-60072	Y	English
sub-60073	N	English
sub-60074	N	English
sub-60076	Y	English
sub-60077	N	English
sub-60078	Y	English
sub-60079	N	English
sub-60080	N	English
sub-60084	N	English
sub-60087	N	English
sub-60089	N	English
sub-70001	N	English
sub-70002	N	English
sub-70004	N	English
sub-70007	N	English
sub-70010	N	English
sub-70015	N	English
sub-70017	N	English
sub-70020	N	English
sub-70021	N	English
sub-70022	Y	English
sub-70026	N	English
sub-70029	Y	English
sub-70033	N	English
sub-70034	N	English
sub-70035	N	English
sub-70036	N	English
sub-70037	N	English
sub-70040	N	English
sub-70046	N	English
sub-70048	Y	English
sub-70049	N	English
sub-70051	N	English
sub-70052	N	English
sub-70055	N	English
sub-70057	N	English
sub-70058	N	English
sub-70060	N	English
sub-70061	N	English
sub-70065	N	English
sub-70068	Y	English
sub-70069	N	English
sub-70070	N	English
sub-70072	Y	English
sub-70073	Y	English
sub-70074	N	English
sub-70075	N	English
sub-70076	N	English
sub-70077	N	English
sub-70079	N	English
sub-70080	N	English
sub-70081	N	English
sub-70083	N	English
sub-70086	N	English
