participant_id	rk_nsi	rk_rresponse	rk_recfp	rk_rcacc	rk_recfp_k	rk_recpfp	rk_recpfp_k	rk_recptp	rk_rectn	rk_kzerocorrect	rk_percentkonecorrect	rk_notrnotk	rk_rkone	rk_kwacc	rk_encacc	rk_recso	rk_rktwo	rk_recuo	rk_kwaccp	rk_percentkzerocorrect	rk_twacc	rk_rrt	rk_ktwocorrect	rk_rzerocorrect	rk_percentrzerocorrect	rk_recfn	rk_krt	rk_caccp	rk_rcaccp	rk_rwaccp	rk_percentrtwocorrect	rk_kcaccp	rk_recfp_r	rk_rectp	rk_waccp	rk_rkzero	rk_tcacc	rk_percentronecorrect	rk_nfoils	rk_rtwocorrect	rk_percentktwocorrect	rk_kresponse	rk_ronecorrect	rk_recpfp_r	rk_kcacc	rk_konecorrect	rk_rwacc
sub-10249	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10269	60	28	3	9	3	0.15	0.15	0.7333333	17	4	0.5	0	23	9	60	0	10	0	0.5625	0.25	27	1715.8571429	4	7	0.25	16	2086.5625	0.3636364	0.3214286	0.6428571	0.2142857	0.4375	0	44	0.6136364	11	16	0.5357143	20	6	0.25	16	15	0	7	8	18
sub-10271	60	46	0	16	0	0	0	0.85	20	1	0.2	0	27	4	58	0	18	0	0.8	0.2	44	1068.2173913	3	5	0.1086957	9	2320.8	0.372549	0.3478261	0.8695652	0.326087	0.6	0	51	0.8627451	6	19	0.5652174	20	15	0.6	5	26	0	3	1	40
sub-10273	60	32	2	16	0	0.1	0	0.8833333	18	0	0.2857143	0	18	21	60	0	31	0	1	0	49	1618.875	15	4	0.125	7	1392.9047619	0.5849057	0.5	0.875	0.5	0.7142857	2	53	0.9245283	4	31	0.375	20	16	0.7142857	21	12	0.1	15	6	28
sub-10274	60	33	10	15	3	0.5	0.15	0.6833333	10	3	0.5	0	17	4	60	0	9	0	0.5	0.375	18	1828.4242424	1	12	0.3636364	19	2676.25	0.4146341	0.4545455	0.4242424	0.2424242	0.25	7	41	0.4390244	15	17	0.3939394	20	8	0.125	8	13	0.35	2	4	14
sub-10280	60	0	0	0	0	0	0	0.45	20	10	0.2962963	0	8	12	60	0	9	0	0.4444444	0.3703704	12	n/a	9	0	0	33	1546.962963	0.5185185	0	0	0	0.5185185	0	27	0.4444444	10	14	0	20	0	0.3333333	27	0	0	14	8	0
sub-10290	60	23	3	10	3	0.15	0.15	0.7333333	17	8	0.4761905	0	22	11	60	0	7	0	0.5238095	0.3809524	21	1280.5217391	3	7	0.3043478	16	1725.2857143	0.3409091	0.4347826	0.4347826	0.173913	0.2380952	0	44	0.4772727	15	15	0.5217391	20	4	0.1428571	21	12	0	5	10	10
sub-10292	60	20	4	9	3	0.2	0.15	0.6166667	16	10	0.2941176	0	13	4	59	0	8	0	0.2352941	0.5882353	15	1209.45	2	6	0.3	23	2699.4117647	0.3783784	0.45	0.55	0.3	0.2941176	1	37	0.4054054	16	14	0.4	20	6	0.1176471	17	8	0.05	5	5	11
sub-10299	60	29	3	8	1	0.15	0.05	0.7	17	4	0.6153846	0	25	7	59	0	1	0	0.5384615	0.3076923	16	1074.7931034	1	12	0.4137931	18	1356.0769231	0.2619048	0.2758621	0.3103448	0	0.2307692	2	42	0.3809524	16	11	0.5862069	20	0	0.0769231	13	17	0.1	3	8	9
sub-10304	60	9	3	8	3	0.15	0.15	0.7166667	17	11	0.4117647	0	16	20	60	0	16	0	0.5882353	0.3235294	28	1567.6666667	9	0	0	17	1120.2647059	0.4651163	0.8888889	0.8888889	0.7777778	0.3529412	0	43	0.6511628	11	20	0.2222222	20	7	0.2647059	34	2	0	12	14	8
sub-10316	60	32	3	8	2	0.15	0.1	0.75	17	8	0.3076923	0	20	4	60	0	6	0	0.3076923	0.6153846	22	926.8125	1	11	0.34375	15	1539.4615385	0.2222222	0.25	0.5625	0.15625	0.1538462	1	45	0.4888889	19	10	0.5	20	5	0.0769231	13	16	0.05	2	4	18
sub-10321	60	42	1	19	0	0.04	0	0.75	24	0	0.75	0	20	4	60	0	16	0	1	0	32	1336.5	1	12	0.2727273	15	2798	0.4166667	0.4318182	0.6363636	0.3409091	0.25	1	45	0.6666667	12	20	0.3863636	25	15	0.25	3	17	0.04	1	3	28
sub-10325	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10329	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10339	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10340	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10345	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10347	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10356	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10361	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10365	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10376	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10377	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10388	60	41	2	40	2	0.08	0.08	0.9166667	23	2	0.6923077	0	25	7	60	0	35	0	0.5384615	0.1538462	49	1395.9512195	2	0	0	5	2182.3571429	0.7419355	0.8163265	0.8571429	0.6734694	0.4615385	0	55	0.7903226	2	46	0.3265306	25	33	0.1538462	14	16	0	6	9	42
sub-10428	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10429	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10438	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10440	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10448	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10455	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10460	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10471	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10478	60	13	5	5	5	0.25	0.25	0.75	15	10	0.40625	0	21	20	58	0	14	0	0.625	0.3125	33	1954.1538462	9	0	0	15	1913.4375	0.3555556	0.3846154	1	0.3846154	0.34375	0	45	0.7333333	10	16	0.6153846	20	5	0.28125	32	8	0	11	13	13
sub-10487	60	38	2	28	2	0.1	0.1	0.9	18	7	0.25	0	18	7	60	0	28	0	0.4375	0.4375	39	1156.2894737	5	1	0.0263158	6	1850.5	0.6481481	0.7368421	0.8421053	0.6052632	0.4375	0	54	0.7222222	8	35	0.3684211	20	23	0.3125	16	14	0	7	4	32
sub-10492	60	21	7	12	7	0.35	0.35	0.9333333	13	13	0.4285714	0	21	19	60	0	19	0	0.5428571	0.3714286	37	1612.7142857	7	3	0.1428571	4	1904.7142857	0.3928571	0.5714286	0.8571429	0.5714286	0.2857143	0	56	0.6607143	16	22	0.2857143	20	12	0.2	35	6	0	10	15	18
sub-10501	60	39	1	25	1	0.05	0.05	0.7	19	3	0	0	12	0	60	0	23	0	0	1	33	1082.3076923	0	4	0.1025641	18	2021.6666667	0.5952381	0.6410256	0.8461538	0.5897436	0	0	42	0.7857143	7	25	0.3076923	20	23	0	3	12	0	0	0	33
sub-10506	60	27	1	18	0	0.05	0	0.6666667	19	2	0.3846154	0	11	9	60	0	23	0	0.6923077	0.1538462	31	1535.5555556	6	4	0.1481481	20	2137	0.65	0.6666667	0.8148148	0.6296296	0.6153846	1	40	0.775	6	26	0.2222222	20	17	0.4615385	13	6	0.05	8	5	22
sub-10517	60	37	3	29	3	0.15	0.15	0.8833333	17	4	0.3125	0	14	12	60	0	33	0	0.75	0.25	44	1341.3513514	7	2	0.0540541	7	1341.875	0.6792453	0.7837838	0.8648649	0.7027027	0.4375	0	53	0.8301887	6	36	0.2432432	20	26	0.4375	16	9	0	7	5	32
sub-10523	60	35	8	20	6	0.4	0.3	0.8666667	12	5	0.4117647	0	28	10	60	0	15	0	0.5882353	0.2941176	31	1536.6571429	5	4	0.1142857	8	2463.8235294	0.5192308	0.5714286	0.6	0.2857143	0.4117647	2	52	0.5961538	9	27	0.6	20	10	0.2941176	17	21	0.1	7	7	21
sub-10524	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10525	60	25	0	11	0	0	0	0.4666667	20	1	0.6666667	0	12	1	60	0	8	0	0.3333333	0.3333333	16	1073.92	0	7	0.28	32	2088.3333333	0.4285714	0.44	0.6	0.32	0.3333333	0	28	0.5714286	8	12	0.4	20	8	0	3	10	0	1	2	15
sub-10527	60	33	1	27	1	0.05	0.05	0.8166667	19	3	0.3125	0	14	10	60	0	32	0	0.625	0.1875	40	1413.7878788	8	0	0	11	1716	0.7755102	0.8181818	0.9090909	0.7272727	0.6875	0	49	0.8163265	3	38	0.2727273	20	24	0.5	16	9	0	11	5	30
sub-10530	60	37	1	24	1	0.05	0.05	0.8166667	19	5	0.1666667	0	16	6	60	0	26	0	0.5	0.4166667	38	1078.5135135	5	2	0.0540541	11	2158	0.6122449	0.6486486	0.8648649	0.5675676	0.5	0	49	0.7755102	7	30	0.3783784	20	21	0.4166667	12	14	0	6	2	32
sub-10557	60	21	0	13	0	0	0	0.5166667	20	5	0.3	0	11	4	56	0	12	0	0.4	0.5	19	1810.1904762	2	3	0.1428571	29	2466.7	0.516129	0.6190476	0.7142857	0.4761905	0.3	0	31	0.6129032	8	16	0.3809524	20	10	0.2	10	8	0	3	3	15
sub-10565	60	22	7	13	5	0.35	0.25	0.7	13	7	0.55	0	21	11	60	0	12	0	0.55	0.35	28	2073.7272727	2	2	0.0909091	18	2404.9	0.4047619	0.5909091	0.7727273	0.4545455	0.2	2	42	0.6666667	9	17	0.4545455	20	10	0.1	20	10	0.1	4	11	17
sub-10570	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10575	60	16	6	9	6	0.3	0.3	0.7666667	14	7	0.4	0	21	18	58	0	18	0	0.6	0.2333333	32	2124.625	11	0	0	14	2260.3333333	0.5434783	0.5625	0.875	0.4375	0.5333333	0	46	0.6956522	7	25	0.5625	20	7	0.3666667	30	9	0	16	12	14
sub-10624	60	15	2	11	2	0.1	0.1	0.5333333	18	6	0.4705882	0	14	9	60	0	10	0	0.5294118	0.3529412	18	1412.0666667	3	2	0.1333333	28	1294.9411765	0.5	0.7333333	0.6	0.4666667	0.2941176	0	32	0.5625	8	16	0.4	20	7	0.1764706	17	6	0	5	8	9
sub-10629	60	45	8	21	7	0.4	0.35	0.8666667	12	2	0.7142857	0	30	4	60	0	14	0	0.5714286	0.2857143	36	1115.5111111	0	6	0.1333333	8	1302.1428571	0.4230769	0.4666667	0.7111111	0.3111111	0.1428571	1	52	0.6923077	8	22	0.5555556	20	14	0	7	25	0.05	1	5	32
sub-10631	60	23	3	9	0	0.15	0	0.7166667	17	5	0.45	0	18	12	60	0	14	0	0.6	0.25	28	1462.6086957	6	6	0.2608696	17	1380	0.4186047	0.3913043	0.6956522	0.3478261	0.45	3	43	0.6511628	11	18	0.3913043	20	8	0.3	20	9	0.15	9	9	16
sub-10638	60	31	1	13	1	0.05	0.05	0.6666667	19	1	0.4444444	0	18	8	60	0	10	0	0.8888889	0.1111111	21	1537.8709677	4	11	0.3548387	20	2370	0.425	0.4193548	0.4193548	0.1935484	0.4444444	0	40	0.525	12	17	0.4516129	20	6	0.4444444	9	14	0	4	4	13
sub-10668	60	33	0	20	0	0	0	0.7	20	0	0.5555556	0	18	8	60	0	23	0	0.8888889	0	39	1275.3636364	4	1	0.030303	18	2155.3333333	0.5952381	0.6060606	0.9393939	0.5757576	0.5555556	0	42	0.9285714	1	25	0.3939394	20	19	0.4444444	9	13	0	5	5	31
sub-10672	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-10674	60	3	1	1	1	0.05	0.05	0.8833333	19	4	0.54	0	29	45	60	0	20	0	0.9	0.08	48	1971.6666667	19	0	0	7	1392.1	0.3962264	0.3333333	1	0.3333333	0.4	0	53	0.9056604	4	21	0.6666667	20	1	0.38	50	2	0	20	27	3
sub-10678	60	17	2	16	1	0.1	0.05	0.5333333	18	7	0.2666667	0	8	5	60	0	16	0	0.3333333	0.4666667	17	1323.8235294	4	1	0.0588235	28	2044.6666667	0.71875	0.9411765	0.7058824	0.7058824	0.4666667	1	32	0.53125	8	23	0.2352941	20	12	0.2666667	15	4	0.05	7	4	12
sub-10680	60	19	4	15	4	0.2	0.2	0.7166667	16	7	0.4166667	0	16	11	60	0	18	0	0.4583333	0.2916667	24	1775.6842105	7	2	0.1052632	17	2004.75	0.6511628	0.7894737	0.6842105	0.5789474	0.5416667	0	43	0.5581395	9	28	0.3157895	20	11	0.2916667	24	6	0	13	10	13
sub-10686	60	35	1	19	1	0.05	0.05	0.6333333	19	2	0.3333333	0	13	1	60	0	14	0	0.3333333	0.6666667	22	1498.1142857	0	9	0.2571429	22	3612	0.5	0.5428571	0.6	0.4	0	0	38	0.5789474	11	19	0.3428571	20	14	0	3	12	0	0	1	21
sub-10692	60	3	6	2	0	0.3	0	0.8	14	3	0.5333333	0	25	39	60	0	19	0	0.8666667	0.0666667	40	1764.6666667	18	1	0.3333333	12	1031.6222222	0.4791667	0.6666667	0.3333333	0.3333333	0.4666667	6	48	0.8333333	4	23	0.3333333	20	1	0.4	45	1	0.3	21	24	1
sub-10696	60	20	9	7	7	0.45	0.35	0.6166667	11	6	0.3529412	0	22	7	60	0	5	0	0.4117647	0.3529412	16	968.35	5	4	0.2	23	1041.8823529	0.4324324	0.35	0.45	0	0.5294118	2	37	0.4324324	10	16	0.8	20	0	0.2941176	17	16	0.1	9	6	9
sub-10697	60	15	3	7	3	0.15	0.15	0.8333333	17	6	0.4285714	0	21	25	60	0	19	0	0.7142857	0.1714286	34	1651.9333333	14	4	0.2666667	10	1704.9142857	0.5	0.4666667	0.6	0.3333333	0.5142857	0	50	0.68	10	25	0.4	20	5	0.4	35	6	0	18	15	9
sub-10704	60	29	4	17	3	0.2	0.15	0.8166667	16	8	0.45	0	19	7	60	0	15	0	0.35	0.4	24	1161.5172414	3	7	0.2413793	11	2097.4	0.5102041	0.5862069	0.5862069	0.4137931	0.4	1	49	0.4897959	15	25	0.3448276	20	12	0.15	20	10	0.05	8	9	17
sub-10707	60	27	4	18	4	0.2	0.2	0.7666667	16	6	0.4210526	0	19	11	60	0	21	0	0.5789474	0.3157895	36	1557.2962963	5	0	0	14	2698.8421053	0.5434783	0.6666667	0.9259259	0.5925926	0.3684211	0	46	0.7826087	6	25	0.4074074	20	16	0.2631579	19	11	0	7	8	25
sub-10708	60	38	2	21	1	0.1	0.05	0.7666667	18	8	0	0	13	0	60	0	17	0	0	1	26	1120.2631579	0	8	0.2105263	14	1845.875	0.4565217	0.5526316	0.6842105	0.4473684	0	1	46	0.5652174	16	21	0.3421053	20	17	0	8	13	0.05	0	0	26
sub-10719	60	28	2	13	2	0.1	0.1	0.9333333	18	5	0.4285714	0	25	23	60	0	24	0	0.8214286	0.1785714	49	1087.5	11	2	0.0714286	4	1290.9642857	0.4285714	0.4642857	0.9285714	0.4642857	0.3928571	0	56	0.875	7	24	0.4642857	20	13	0.3928571	28	13	0	11	12	26
sub-10724	60	28	8	9	7	0.4	0.35	0.8333333	12	12	0.3636364	0	23	4	60	0	6	0	0.1818182	0.5454545	18	1018.6428571	2	9	0.3214286	10	1123.6363636	0.34	0.3214286	0.5	0.1428571	0.3636364	1	50	0.36	21	17	0.5357143	20	4	0.0909091	22	15	0.05	8	8	14
sub-10746	60	14	1	8	1	0.05	0.05	0.4833333	19	7	0.3333333	0	11	5	60	0	7	0	0.3333333	0.4666667	11	1144.5	3	4	0.2857143	31	1819.9333333	0.4827586	0.5714286	0.4285714	0.2857143	0.4	0	29	0.3793103	11	14	0.4285714	20	4	0.2	15	6	0	6	5	6
sub-10762	60	50	5	24	0	0.25	0	0.85	15	0	1	0	22	1	60	0	16	0	1	0	30	1121.32	0	13	0.26	9	2362	0.4705882	0.48	0.58	0.32	0	5	51	0.5882353	13	24	0.42	20	16	0	1	21	0.25	0	1	29
sub-10779	60	25	6	11	5	0.3	0.25	0.85	14	14	0.3461538	0	18	10	60	0	9	0	0.3846154	0.5384615	20	1335.08	3	10	0.4	9	1412.8846154	0.3137255	0.44	0.4	0.24	0.1923077	1	51	0.3921569	24	16	0.36	20	6	0.1153846	26	9	0.05	5	9	10
