participant_id	sst_bk1_pctinhib_ladder2	sst_bk2_pctinhib_ladder2	sst_ses_ssd50	sst_ses_stdev_rt	sst_bk2_direction_errors	sst_ses_ladder2mean	sst_ses_mean_rt	sst_bk2_stdev_rt	sst_bk1_ssrt	sst_bk2_ssrt	sst_ses_ladder1mean	sst_bk1_ssd50	sst_ses_pctinhib_ladder2	sst_bk2_ssrt_quant	sst_ses_median_rt	sst_bk1_median_rt	sst_bk1_pctinhib_ladder1	sst_bk1_direction_errors	sst_ses_percent_inhib	sst_bk2_ladder2mean	sst_bk2_percent_go_response	sst_bk1_quant_rt	sst_ses_percent_go_response	sst_ses_ssrt_quant	sst_bk1_ssrt_quant	sst_bk2_median_rt	sst_bk1_stdev_rt	sst_bk1_ladder2mean	sst_ses_ssrt	sst_bk2_quantilevalue	sst_bk2_percent_inhib	sst_ses_pctinhib_ladder1	sst_bk2_quant_rt	sst_ses_quant_rt	sst_ses_quantilevalue	sst_bk2_ladder1mean	sst_ses_direction_errors	sst_bk2_mean_rt	sst_bk2_pctinhib_ladder1	sst_bk1_percent_go_response	sst_bk1_endtrial	sst_bk1_mean_rt	sst_bk2_ssd50	sst_bk1_percent_inhib	sst_bk1_ladder1mean	sst_bk2_endtrial	sst_bk1_quantilevalue
sub-10159	0.5625	0.5	390.625	151.35854	0	390.625	623.203125	133.6208562	216.125	217.125	390.625	359.375	0.53125	217.125	607.25	575.5	0.6875	0	0.5625	418.75	1	542.5	1	200.125	183.125	639	169.0962238	362.5	216.625	0.5	0.5	0.59375	639	590.75	0.4375	425	0	630.84375	0.5	1	128	615.5625	421.875	0.625	356.25	128	0.375
sub-10171	0.5	0.4375	239.0625	78.7703676	0	253.125	465.6770833	76.4316853	200.5	229.875	225	287.5	0.46875	231.875	454.25	488	0.5	0	0.484375	212.5	1	488	1	216.1875	200.5	420.5	81.1090498	293.75	215.1875	0.53125	0.46875	0.5	422.5	455.25	0.515625	168.75	0	442.1354167	0.5	1	128	489.21875	190.625	0.5	281.25	128	0.5
sub-10189	0.5625	0.4375	339.0625	108.974899	0	350	597.2135417	110.9043166	286.375	208	328.125	340.625	0.5	241	586.25	627	0.6875	0	0.515625	350	1	580.5	1	240.4375	239.875	545.5	107.0454814	350	247.1875	0.59375	0.40625	0.53125	578.5	579.5	0.484375	325	0	575.46875	0.375	1	128	618.9583333	337.5	0.625	331.25	128	0.375
sub-10193	0.4375	0.5	348.4375	99.6346933	0	346.875	564.6927083	91.0168573	219.5	226.125	350	375	0.46875	226.125	571.25	594.5	0.5	0	0.484375	325	1	601.5	1	226.3125	226.5	548	108.2525292	368.75	222.8125	0.5	0.5	0.5	548	574.75	0.515625	318.75	0	543.7395833	0.5	1	128	585.6458333	321.875	0.46875	381.25	128	0.53125
sub-10206	0.4375	0.5625	243.75	70.7863465	0	231.25	476.4322917	60.7267815	274.375	192.125	256.25	253.125	0.5	192.125	477	527.5	0.5	0	0.484375	212.5	1	531	1	235	277.875	426.5	80.8459115	250	233.25	0.5	0.5	0.46875	426.5	478.75	0.515625	256.25	0	434.5729167	0.4375	1	128	518.2916667	234.375	0.46875	256.25	128	0.53125
sub-10217	0.75	0.4375	496.875	132.5464725	0	496.875	722.0370066	131.3434592	255.125	187.125	496.875	421.875	0.59375	202.625	718	677	0.75	0	0.609375	581.25	1	571.5	0.9947917	176.125	149.625	759	133.7494859	412.5	221.125	0.53125	0.46875	0.625	774.5	673	0.390625	562.5	0	772.96875	0.5	0.9895833	128	671.1052632	571.875	0.75	431.25	128	0.25
sub-10225	0.4375	0.5	243.75	95.4059659	0	250	463.7760417	75.1315309	210.875	204.125	237.5	265.625	0.46875	206.625	451.25	476.5	0.5625	0	0.484375	218.75	1	476.5	1	208.75	210.875	426	115.6804009	281.25	207.5	0.53125	0.46875	0.5	428.5	452.5	0.515625	225	0	437.1041667	0.4375	1	128	490.4479167	221.875	0.5	250	128	0.5
sub-10227	0.5	0.6875	385.9375	133.0338291	0	346.875	646.515625	125.9349021	244.125	265.5	425	384.375	0.59375	258.5	640.75	628.5	0.6875	0	0.5625	331.25	1	586	1	230.0625	201.625	653	140.1327562	362.5	254.8125	0.46875	0.53125	0.53125	646	616	0.4375	443.75	0	656.0208333	0.375	1	128	637.0104167	387.5	0.59375	406.25	128	0.40625
sub-10228	0.5	0.5	257.8125	93.4326233	1	253.125	466.5144737	87.5467266	177.875	207.5	262.5	278.125	0.5	205.5	450.5	456	0.4375	0	0.5	250	0.9895833	458.5	0.9947917	192.9375	180.375	445	99.31852	256.25	192.6875	0.46875	0.53125	0.5	443	450.75	0.5	225	0.5	467.7789474	0.5625	1	128	465.25	237.5	0.46875	300	128	0.53125
sub-10235	0.3125	0.625	289.0625	116.7370781	0	275	532.8802083	99.7443569	185.625	262.25	303.125	284.375	0.46875	243.75	513	470	0.4375	0	0.484375	287.5	1	511.5	1	235.4375	227.125	556	133.7297993	262.5	223.9375	0.40625	0.59375	0.5	537.5	524.5	0.515625	300	0	561.3229167	0.5625	1	128	504.4375	293.75	0.375	306.25	128	0.625
