onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
0.031210482789902	9.48323913018248	6	3	4.5	0.874486722452275	CORRECT	2	28	1.98947621060597	3.00079333542453	0.031210482789902
11.5205898109725	7.99116930057608	8	5	3	1.71353999545136	CORRECT	1	5	1.98943490042348	2.98432390800008	11.5205898109725
21.5178120685478	7.99112604842412	2	1	3	0.520496023452324	CORRECT	1	5	1.98948838827255	3.00078095242407	21.5178120685478
31.5150800919719	8.00771539315247	5	3	3	0.826693532451827	CORRECT	2	28	2.00600865915203	3.00085356757609	31.5150800919719
43.5184227195477	9.49983621642423	3	1	4.5	0.521593456027404	CORRECT	1	5	1.98951778400078	3.00079824899967	43.5184227195477
59.0199325459726	6.49905101815148	1	1	1.5	1.26158587087502	CORRECT	2	28	1.98947350972776	3.00086511999962	59.0199325459726
71.5206909315484	9.49988626300001	12	7	4.5	1.69694479345253	INCORRECT	2	5	1.98951554684754	3.00084932500067	71.5206909315484
85.016088901124	9.49993771442405	6	3	4.5	1.29663455402715	INCORRECT	1	28	2.00612407784865	3.00079665257545	85.016088901124
96.5055550095485	9.51643133042398	9	5	4.5	0.781926218028275	CORRECT	2	28	2.00600361799934	3.00083053200069	96.5055550095485
110.017549781972	8.00784145200032	11	7	3	1.99016605902762	CORRECT	2	28	2.0061129275764	3.00087595599962	110.017549781972
126.016484903972	7.99123621200033	8	5	3	1.15484516566539	CORRECT	2	28	1.98951561257581	3.00081163263803	126.016484903972
138.019854712972	9.49986918257582	9	5	4.5	1.00426113645153	INCORRECT	1	28	1.98945945415198	3.00087644399991	138.019854712972
151.515274390972	6.49905421315179	4	3	1.5	2.19093781502761	CORRECT	1	5	1.98959678427218	3.00077024415168	151.515274390972
162.026544917549	6.48242560457584	7	5	1.5	2.00178100902758	INCORRECT	1	28	1.98948501142331	2.98425334315198	162.026544917549
172.521201048548	9.499889327848	6	3	4.5	0.475347717451768	CORRECT	1	5	1.98940993199994	3.00083875084783	172.521201048548
