onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
2.03198	1.19139	2.03198	3.22337	5.22557	1.19139	1.19139	COLOR	3	greentriangle	green	triangle	1	n/a	0	n/a	LONG	2	0	CONGRUENT	NOSWITCH	0.03198	3.22557	1.22337
6.21835	1.19147	6.21835	7.40982	9.41193	1.19147	2.13212	C	1	redcircle	red	circle	4	5	1	0.94065	LONG	2	1	CONGRUENT	NOSWITCH	4.21835	7.41193	5.40982
10.40472	0.215150000000001	10.40472	10.61987	12.60548	0.215150000000001	1.80161	SHAPE	4	greentriangle	green	triangle	1	28	2	1.58646	SHORT	1	1	CONGRUENT	SWITCH	8.40472	10.60548	8.61987
14.60766	0.21513	14.60766	14.82279	16.80836	0.21513	1.96775	S	2	redtriangle	red	triangle	2	28	2	1.75262	SHORT	1	1	INCONGRUENT	NOSWITCH	12.60766	14.80836	12.82279
18.81063	1.20789	18.81063	20.01852	22.02065	1.20789	2.40567	SHAPE	4	redtriangle	red	triangle	2	28	2	1.19778	LONG	2	1	INCONGRUENT	NOSWITCH	16.81063	20.02065	18.01852
23.01345	1.1914	23.01345	24.20485	26.22354	1.1914	1.91294	C	1	redcircle	red	circle	4	5	1	0.72154	LONG	2	1	CONGRUENT	SWITCH	21.01345	24.22354	22.20485
27.21641	1.20787	27.21641	28.42428	30.4099	1.20787	2.45447	COLOR	3	greencircle	green	circle	3	28	2	1.2466	LONG	2	1	INCONGRUENT	NOSWITCH	25.21641	28.4099	26.42428
33.42144	1.1914	33.42144	34.61284	36.61504	1.1914	2.2285	C	1	redcircle	red	circle	4	5	1	1.0371	LONG	2	1	CONGRUENT	NOSWITCH	31.42144	34.61504	32.61284
37.60779	0.215159999999997	37.60779	37.82295	39.82522	0.215159999999997	1.05464	COLOR	3	redcircle	red	circle	4	5	1	0.83948	SHORT	1	1	CONGRUENT	NOSWITCH	35.60779	37.82522	35.82295
40.81794	0.198599999999999	40.81794	41.01654	43.01861	0.198599999999999	1.24939	C	1	greentriangle	green	triangle	1	28	2	1.05079	SHORT	1	1	CONGRUENT	NOSWITCH	38.81794	41.01861	39.01654
45.02081	0.198620000000005	45.02081	45.21943	47.22156	0.198620000000005	1.01943000000001	COLOR	3	greencircle	green	circle	3	28	2	0.82081	SHORT	1	1	INCONGRUENT	NOSWITCH	43.02081	45.22156	43.21943
48.21441	1.19136	48.21441	49.40577	51.40794	1.19136	2.32392	SHAPE	4	greentriangle	green	triangle	1	28	2	1.13256	LONG	2	1	CONGRUENT	SWITCH	46.21441	49.40794	47.40577
52.41729	0.198610000000002	52.41729	52.6159	54.61802	0.198610000000002	2.10616	S	2	redcircle	red	circle	4	5	1	1.90755	SHORT	1	1	CONGRUENT	NOSWITCH	50.41729	52.61802	50.6159
56.62024	0.198509999999999	56.62024	56.81875	58.80442	0.198509999999999	1.60522	COLOR	3	redtriangle	red	triangle	2	5	1	1.40671	SHORT	1	1	INCONGRUENT	SWITCH	54.62024	56.80442	54.81875
59.81374	0.198569999999997	59.81374	60.01231	62.01459	0.198569999999997	1.58193	C	1	greencircle	green	circle	3	28	2	1.38336	SHORT	1	1	INCONGRUENT	NOSWITCH	57.81374	60.01459	58.01231
63.02387	1.19135	63.02387	64.21522	66.21733	1.19135	1.79021	COLOR	3	redcircle	red	circle	4	5	1	0.59886	LONG	2	1	CONGRUENT	NOSWITCH	61.02387	64.21733	62.21522
67.21023	0.215040000000002	67.21023	67.42527	69.41098	0.215040000000002	1.99314	C	1	redtriangle	red	triangle	2	5	1	1.7781	SHORT	1	1	INCONGRUENT	NOSWITCH	65.21023	67.41098	65.42527
70.4203	0.198530000000005	70.4203	70.61883	72.62109	0.198530000000005	1.49840000000001	S	2	redtriangle	red	triangle	2	28	2	1.29987	SHORT	1	1	INCONGRUENT	SWITCH	68.4203	70.62109	68.61883
73.61382	0.198599999999999	73.61382	73.81242	75.81458	0.198599999999999	1.45512	SHAPE	4	redtriangle	red	triangle	2	28	2	1.25652	SHORT	1	1	INCONGRUENT	NOSWITCH	71.61382	73.81458	71.81242
76.80741	0.21508	76.80741	77.02249	79.02462	0.21508	1.47103	S	2	greentriangle	green	triangle	1	28	2	1.25595	SHORT	1	1	CONGRUENT	NOSWITCH	74.80741	77.02462	75.02249
80.01748	1.19139999999999	80.01748	81.20888	83.21104	1.19139999999999	1.71708999999999	SHAPE	4	redtriangle	red	triangle	2	28	2	0.52569	LONG	2	1	INCONGRUENT	NOSWITCH	78.01748	81.21104	79.20888
84.22046	1.19129	84.22046	85.41175	87.41395	1.19129	1.89909	COLOR	3	redcircle	red	circle	4	5	1	0.7078	LONG	2	1	CONGRUENT	SWITCH	82.22046	85.41395	83.41175
89.41612	0.198560000000001	89.41612	89.61468	91.61683	0.198560000000001	1.50716	C	1	greencircle	green	circle	3	28	2	1.3086	SHORT	1	1	INCONGRUENT	NOSWITCH	87.41612	89.61683	87.61468
92.60969	1.20792	92.60969	93.81761	95.81976	1.20792	2.02554	COLOR	3	greencircle	green	circle	3	28	2	0.81762	LONG	2	1	INCONGRUENT	NOSWITCH	90.60969	93.81976	91.81761
96.81259	0.198589999999996	96.81259	97.01118	99.01337	0.198589999999996	1.08446	C	1	redcircle	red	circle	4	5	1	0.88587	SHORT	1	1	CONGRUENT	NOSWITCH	94.81259	97.01337	95.01118
100.00614	0.215109999999996	100.00614	100.22125	102.22342	0.215109999999996	1.0719	COLOR	3	greencircle	green	circle	3	28	2	0.85679	SHORT	1	1	INCONGRUENT	NOSWITCH	98.00614	100.22342	98.22125
103.21622	1.19139999999999	103.21622	104.40762	106.40978	1.19139999999999	2.18626999999999	SHAPE	4	greencircle	green	circle	3	28	2	0.99487	LONG	2	0	INCONGRUENT	SWITCH	101.21622	104.40978	102.40762
107.41908	1.19141	107.41908	108.61049	110.61267	1.19141	1.84527	S	2	greentriangle	green	triangle	1	28	2	0.65386	LONG	2	1	CONGRUENT	NOSWITCH	105.41908	108.61267	106.61049
