onset	duration	trial_type	Load	Delay	ReactionTime	ResponseAccuracy	ExpectedResponse	ButtonPressCode	PresentationInterval	ResponseInterval	onset_noTriggerAdjust
2.01583566399995	9.49793252699965	6	3	4.5	1.21542146000002	CORRECT	2	28	2.00226596699986	2.99495862599997	0.0158356639999511
13.5159139159996	7.99218992700025	8	5	3	1.40117888399982	CORRECT	1	5	2.00224427100011	2.99495196599992	11.5159139159996
23.5102734049997	7.99211248500023	2	1	3	0.819386508999742	CORRECT	1	5	2.00213591300007	2.99494434400003	21.5102734049997
33.521120465	7.99216676900005	5	3	3	1.08268473299995	CORRECT	2	28	1.98561092	2.99499589300012	31.521120465
45.5175791389997	9.49795583800005	3	1	4.5	1.09001828500004	CORRECT	1	5	2.00231829999984	3.01152347100015	43.5175791389997
61.0220957379997	6.48632874500026	1	1	1.5	0.750559027000236	CORRECT	2	28	1.98556886699998	2.99493893700037	59.0220957379997
73.5149460769999	9.49794329499991	12	7	4.5	1.58874684600005	INCORRECT	2	5	2.00219957599984	2.99499615800005	71.5149460769999
87.0171839169998	9.49789630199984	6	3	4.5	0.941798339000343	CORRECT	1	5	2.00219754	3.01147313000001	85.0171839169998
98.5172687159998	9.49790325000004	9	5	4.5	0.845760666999922	CORRECT	2	28	2.00219680300006	2.99494753599993	96.5172687159998
112.01955129	7.99219070599975	11	7	3	0.871475127999929	CORRECT	2	28	2.00218759899963	2.99507299800007	110.01955129
128.02038517	7.99216164600011	8	5	3	0.805638002000251	CORRECT	2	28	2.00221678600019	2.9949614330003	126.02038517
140.016902947	9.49791516599998	9	5	4.5	1.17966524699978	CORRECT	1	5	2.00214702699986	2.99502372699999	138.016902947
153.519141818	6.50292606999983	4	3	1.5	0.80362633499999	INCORRECT	1	28	2.00218443699987	3.0115516599999	151.519141818
164.009886838	6.50286086900041	7	5	1.5	1.49565410300011	CORRECT	1	5	2.00214507500004	2.99490618000027	162.009886838
174.517158008	9.49788863999993	6	3	4.5	0.954915769999843	CORRECT	1	5	1.98560415999964	2.99499701700006	172.517158008
188.002820175	6.50293123400024	10	7	1.5	1.24731964900002	CORRECT	1	5	2.00216684399993	2.99495979299991	186.002820175
198.5266904	6.48631347499986	1	1	1.5	0.736540190000142	CORRECT	2	28	1.98564134399976	2.99492456200005	196.5266904
211.019604677	6.50284568300003	10	7	1.5	0.969379145999937	CORRECT	2	28	2.00214079199986	3.01150672599988	209.019604677
221.510286487	8.00871097700019	2	1	3	0.708547022999937	CORRECT	2	28	2.00218515200004	3.01159128500012	219.510286487
239.513332484	6.50285329000008	7	5	1.5	1.24410551199981	CORRECT	1	5	2.00209201899997	2.99495269499994	237.513332484
254.008376171	8.00871584800007	5	3	3	0.850617110000258	CORRECT	1	5	2.01873368199995	2.99500874800015	252.008376171
266.021361064	9.49794710900005	3	1	4.5	0.706352703999983	CORRECT	1	5	1.98568515999978	2.99502623700027	264.021361064
279.52362934	9.48140315299997	12	7	4.5	1.45213749899995	CORRECT	2	28	1.98563095500003	2.99497224800007	277.52362934
291.02373775	7.99214543700009	11	7	3	1.1779548569998	INCORRECT	1	28	1.98564656999997	3.01156597399995	289.02373775
303.020265017	7.99212778399988	2	1	3	0.722371340000336	CORRECT	2	28	1.98561251399997	2.99499503100014	301.020265017
313.014545085	8.00869297099962	8	5	3	0.791376152999874	CORRECT	2	28	2.00218102399958	3.01151104499968	311.014545085
323.008877694	6.50291282700027	10	7	1.5	1.360891455	INCORRECT	1	28	2.00216807200013	2.99494658799995	321.008877694
337.520485923	6.48638839700016	1	1	1.5	0.734053737000067	CORRECT	1	5	2.00219217899985	2.9949859000003	335.520485923
346.02562365	7.99213958499968	11	7	3	1.5755342399998	CORRECT	1	5	1.98556533600004	3.01150979499971	344.02562365
356.019897643	6.48642299600033	7	5	1.5	0.773979293000139	CORRECT	2	28	2.00219881000021	2.9950366310004	354.019897643
364.524992361	6.48641502800001	4	3	1.5	0.737355031999869	CORRECT	2	28	1.98566012299989	2.995001753	362.524992361
375.015718041	8.00871435699992	11	7	3	0.79032327699997	CORRECT	2	28	2.00219070399999	3.01157633399998	373.015718041
385.010090685	9.4978849590002	3	1	4.5	1.00910837599986	CORRECT	2	28	2.00211884300006	2.99499407900021	383.010090685
398.512315754	9.49788899600026	12	7	4.5	0.818112408999696	CORRECT	2	28	2.00213088700002	2.99500708999994	396.512315754
410.012399312	8.00871291800013	2	1	3	0.653941522000423	CORRECT	1	5	2.00219698000001	3.01153404900015	408.012399312
430.017558896	6.50299633600025	10	7	1.5	1.00858236900012	CORRECT	2	28	2.00214506100019	2.9950226750002	428.017558896
440.508290926	9.51445153399982	3	1	4.5	1.21939016900023	CORRECT	1	5	2.01873448199967	3.01154979500006	438.508290926
452.008395091	9.51444114300011	9	5	4.5	1.30481217499982	CORRECT	1	5	2.00214776800021	3.01150637199999	450.008395091
465.510640655	9.49784878199989	6	3	4.5	0.667612679000285	CORRECT	2	28	2.00220947099979	2.99490382500016	463.510640655
477.01073495	8.0086836749997	5	3	3	0.887242641999819	CORRECT	1	5	2.00215333100005	3.01158196099959	475.01073495
