onset	duration	trial_number	trial_type	trial_type_coded	reaction_time	expected_response_coded	response	response_coded	accuracy	accuracy_scrambled	accuracy_task	rec_codes_during_enc	onset_probe	onset_noTriggerAdjust	onset_probe_noTriggerAdjust
0.0155123261711196	2	1	CONTROL	1	1.12474496382902	1	LEFT	5	1	1	0	0	0.0321583651707442	0.0155123261711196	0.0321583651707442
4.50856240602479	2	2	CONTROL	1	0.740453985828935	2	RIGHT	28	1	1	0	0	4.52506283917091	4.50856240602479	4.52506283917091
11.5215076871709	4	3	TASK	2	1.05388351280362	1	LEFT	5	1	0	1	16	12.5161911171963	11.5215076871709	12.5161911171963
19.5125544670991	2	4	CONTROL	1	0.834104965047118	1	LEFT	5	1	1	0	0	19.5291514979526	19.5125544670991	19.5291514979526
22.0824609321708	4	5	TASK	2	1.18904927382846	2	RIGHT	28	1	0	1	28	23.0108699681714	22.0824609321708	23.0108699681714
38.5123225580992	4	6	TASK	2	1.00658287636452	1	LEFT	5	1	0	1	1	39.5071907226356	38.5123225580992	39.5071907226356
49.5209686860999	2	7	CONTROL	1	0.620116111193965	2	RIGHT	28	1	1	0	0	49.5375092298063	49.5209686860999	49.5375092298063
56.5174324789532	2	8	CONTROL	1	0.704220544193959	2	RIGHT	28	1	1	0	0	56.5339670648063	56.5174324789532	56.5339670648063
66.017286857953	4	9	TASK	2	0.788299590975839	2	RIGHT	28	1	0	1	33	67.0120574640241	66.017286857953	67.0120574640241
70.526846545953	2	10	CONTROL	1	0.647954015047617	2	RIGHT	28	1	1	0	0	70.5434281759526	70.526846545953	70.5434281759526
76.0145377299532	4	11	TASK	2	0.863091175046975	2	RIGHT	28	1	0	1	17	77.0092328609526	76.0145377299532	77.0092328609526
81.5187734048059	4	12	TASK	2	0.866891833193222	2	RIGHT	28	1	0	1	11	82.5135963758066	81.5187734048059	82.5135963758066
92.5274474329526	4	13	TASK	2	0.892568642829247	1	LEFT	5	1	0	1	8	93.5056156501705	92.5274474329526	93.5056156501705
98.0151857263672	2	14	CONTROL	1	0.748989019900364	1	LEFT	5	1	1	0	0	98.0316938000997	98.0151857263672	98.0316938000997
104.514168945806	4	15	TASK	2	0.689607033975335	1	LEFT	5	1	0	1	5	105.509020850024	104.514168945806	105.509020850024
109.023707042807	2	16	CONTROL	1	0.714887671047109	1	LEFT	5	1	1	0	0	109.040314379953	109.023707042807	109.040314379953
112.024574735953	2	17	CONTROL	1	0.637853409047239	2	RIGHT	28	1	1	0	0	112.041125066953	112.024574735953	112.041125066953
118.523620751806	4	18	TASK	2	0.681229935193187	2	RIGHT	28	1	0	1	25	119.518357399807	118.523620751806	119.518357399807
125.022694513659	2	19	CONTROL	1	0.777399691828577	1	LEFT	5	1	1	0	0	125.039267227171	125.022694513659	125.039267227171
129.018354547025	4	20	TASK	2	0.90896523282936	1	LEFT	5	1	0	1	21	130.013035211171	129.018354547025	130.013035211171
135.019885393953	4	21	TASK	2	0.646673467828805	2	RIGHT	28	1	0	1	35	136.014716083171	135.019885393953	136.014716083171
151.018852810953	4	22	TASK	2	0.778330073901088	1	LEFT	5	1	0	1	4	152.013543876099	151.018852810953	152.013543876099
155.528391449659	4	23	TASK	2	1.05779156233984	2	RIGHT	28	1	0	1	34	156.50657011966	155.528391449659	156.50657011966
161.016099120953	2	24	CONTROL	1	0.955773530046827	2	RIGHT	28	1	1	0	0	161.032692011953	161.016099120953	161.032692011953
165.011704322514	2	25	CONTROL	1	0.926747109900134	1	LEFT	5	1	1	0	0	165.028212203099	165.011704322514	165.028212203099
174.511556232806	2	26	CONTROL	1	0.594870612950217	2	RIGHT	28	1	1	0	0	174.52825311905	174.511556232806	174.52825311905
179.518506659806	2	27	CONTROL	1	0.692938797046736	2	RIGHT	28	1	1	0	0	179.535005183953	179.518506659806	179.535005183953
182.055062053806	4	28	TASK	2	1.13947012704739	2	RIGHT	28	1	0	1	15	183.016686410952	182.055062053806	183.016686410952
189.018400847953	2	29	CONTROL	1	0.79123383919341	2	RIGHT	28	1	1	0	0	189.034937836806	189.018400847953	189.034937836806
193.013967185952	4	30	TASK	2	0.682735154121474	2	RIGHT	28	1	0	1	36	194.008834990878	193.013967185952	194.008834990878
202.016473333806	4	31	TASK	2	0.702398092194016	2	RIGHT	28	1	0	1	14	203.011184770806	202.016473333806	203.011184770806
209.510222741807	4	32	TASK	2	1.2129040101936	1	LEFT	5	1	0	1	77	210.521590074806	209.510222741807	210.521590074806
216.009268557659	2	33	CONTROL	1	0.683117981829128	2	RIGHT	28	1	1	0	0	216.025930901171	216.009268557659	216.025930901171
220.5187774551	4	34	TASK	2	0.725858632900781	1	LEFT	5	1	0	1	87	221.513558366099	220.5187774551	221.513558366099
226.023078307953	4	35	TASK	2	0.708221764828522	1	LEFT	5	1	0	1	73	227.017949496171	226.023078307953	227.017949496171
240.015953611806	4	36	TASK	2	0.984162801193634	1	LEFT	5	1	0	1	94	241.010693740806	240.015953611806	241.010693740806
254.00880301266	4	37	TASK	2	0.766672557340826	1	LEFT	5	1	0	1	64	255.020191398659	254.00880301266	255.020191398659
261.519204693806	4	38	TASK	2	1.10492293919378	2	RIGHT	28	1	0	1	69	262.513930109806	261.519204693806	262.513930109806
280.021541798953	2	39	CONTROL	1	0.751255027340449	1	LEFT	5	1	1	0	0	280.03817245666	280.021541798953	280.03817245666
