onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.02981	1.1937	0.02981	1.22351	3.21298	1.1937	1.78972	COLOR	3	greencircle	green	circle	3	28	2	0.59602	LONG	2	0	CONGRUENT	NOSWITCH	0.02981	3.21298	1.22351
4.22432	1.19377	4.22432	5.41809	7.42417	1.19377	2.24526	SHAPE	4	redcircle	red	circle	4	5	1	1.05149	LONG	2	1	INCONGRUENT	SWITCH	4.22432	7.42417	5.41809
8.41891	1.19367	8.41891	9.61258	11.61865	1.19367	2.44541	S	2	greencircle	green	circle	3	5	1	1.25174	LONG	2	1	CONGRUENT	NOSWITCH	8.41891	11.61865	9.61258
12.61337	1.21028	12.61337	13.82365	15.81322	1.21028	2.4884	SHAPE	4	redcircle	red	circle	4	5	1	1.27812	LONG	2	1	INCONGRUENT	NOSWITCH	12.61337	15.81322	13.82365
17.81928	1.19366	17.81928	19.01294	21.01907	1.19366	1.81294	S	2	greentriangle	green	triangle	1	28	2	0.61928	LONG	2	1	INCONGRUENT	NOSWITCH	17.81928	21.01907	19.01294
22.01385	1.1937	22.01385	23.20755	25.21356	1.1937	1.84659	SHAPE	4	redcircle	red	circle	4	5	1	0.65289	LONG	2	1	INCONGRUENT	NOSWITCH	22.01385	25.21356	23.20755
26.2084	0.215540000000001	26.2084	26.42394	28.41341	0.215540000000001	1.07865	S	2	redtriangle	red	triangle	2	28	2	0.86311	SHORT	1	1	CONGRUENT	NOSWITCH	26.2084	28.41341	26.42394
29.42473	1.19371	29.42473	30.61844	32.60802	1.19371	1.61253	C	1	redcircle	red	circle	4	28	2	0.41882	LONG	2	1	INCONGRUENT	SWITCH	29.42473	32.60802	30.61844
34.61403	0.198920000000001	34.61403	34.81295	36.81909	0.198920000000001	0.957000000000001	COLOR	3	greencircle	green	circle	3	5	1	0.75808	SHORT	1	1	CONGRUENT	NOSWITCH	34.61403	36.81909	34.81295
37.81382	0.215530000000001	37.81382	38.02935	40.01885	0.215530000000001	0.844320000000001	C	1	greentriangle	green	triangle	1	5	1	0.62879	SHORT	1	1	INCONGRUENT	NOSWITCH	37.81382	40.01885	38.02935
41.01359	0.215519999999998	41.01359	41.22911	43.21865	0.215519999999998	1.50538	SHAPE	4	redtriangle	red	triangle	2	28	2	1.28986	SHORT	1	1	CONGRUENT	SWITCH	41.01359	43.21865	41.22911
44.21342	0.198979999999999	44.21342	44.4124	46.41839	0.198979999999999	1.22446	C	1	redtriangle	red	triangle	2	28	2	1.02548	SHORT	1	1	CONGRUENT	SWITCH	44.21342	46.41839	44.4124
47.41316	1.21031	47.41316	48.62347	50.61289	1.21031	1.65127	COLOR	3	redcircle	red	circle	4	28	2	0.44096	LONG	2	1	INCONGRUENT	NOSWITCH	47.41316	50.61289	48.62347
51.6243	1.1937	51.6243	52.818	54.80752	1.1937	1.61122	C	1	redtriangle	red	triangle	2	28	2	0.41752	LONG	2	1	CONGRUENT	NOSWITCH	51.6243	54.80752	52.818
56.81357	1.21032	56.81357	58.02389	60.01337	1.21032	1.6873	S	2	redtriangle	red	triangle	2	28	2	0.47698	LONG	2	1	CONGRUENT	SWITCH	56.81357	60.01337	58.02389
61.00804	1.21037	61.00804	62.21841	64.20801	1.21037	1.70961	SHAPE	4	redtriangle	red	triangle	2	28	2	0.49924	LONG	2	1	CONGRUENT	NOSWITCH	61.00804	64.20801	62.21841
65.21919	1.19378	65.21919	66.41297	68.41895	1.19378	2.31567	S	2	redcircle	red	circle	4	5	1	1.12189	LONG	2	1	INCONGRUENT	NOSWITCH	65.21919	68.41895	66.41297
70.42506	0.182379999999995	70.42506	70.60744	72.61355	0.182379999999995	0.920019999999995	COLOR	3	greentriangle	green	triangle	1	5	1	0.73764	SHORT	1	1	INCONGRUENT	SWITCH	70.42506	72.61355	70.60744
73.60835	1.21021	73.60835	74.81856	76.80813	1.21021	1.95827	S	2	greencircle	green	circle	3	5	1	0.74806	LONG	2	1	CONGRUENT	SWITCH	73.60835	76.80813	74.81856
78.81417	0.199039999999997	78.81417	79.01321	81.0192	0.199039999999997	1.02667	SHAPE	4	redcircle	red	circle	4	5	1	0.82763	SHORT	1	1	INCONGRUENT	NOSWITCH	78.81417	81.0192	79.01321
82.01392	0.215519999999998	82.01392	82.22944	84.21897	0.215519999999998	0.941119999999998	S	2	redtriangle	red	triangle	2	28	2	0.7256	SHORT	1	1	CONGRUENT	NOSWITCH	82.01392	84.21897	82.22944
86.22505	0.198950000000011	86.22505	86.424	88.41353	0.198950000000011	0.947070000000011	SHAPE	4	greencircle	green	circle	3	5	1	0.74812	SHORT	1	1	CONGRUENT	NOSWITCH	86.22505	88.41353	86.424
