onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.01584	1.19138	0.01584	1.20722	3.20942	1.19138	2.02658	COLOR	3	greentriangle	green	triangle	1	5	1	0.8352	LONG	2	1	INCONGRUENT	NOSWITCH	0.01584	3.20942	1.20722
4.21878	1.20788	4.21878	5.42666	7.4123	1.20788	2.16732	C	1	redcircle	red	circle	4	5	1	0.95944	LONG	2	0	INCONGRUENT	NOSWITCH	4.21878	7.4123	5.42666
8.40516	0.2151	8.40516	8.62026	10.62246	0.2151	0.2151	SHAPE	4	greentriangle	green	triangle	1	n/a	0	n/a	SHORT	1	0	INCONGRUENT	SWITCH	8.40516	10.62246	8.62026
12.60804	0.215079999999999	12.60804	12.82312	14.80882	0.215079999999999	1.50342	S	2	redtriangle	red	triangle	2	28	2	1.28834	SHORT	1	1	CONGRUENT	NOSWITCH	12.60804	14.80882	12.82312
16.81106	1.20785	16.81106	18.01891	20.00458	1.20785	2.04171	SHAPE	4	redtriangle	red	triangle	2	28	2	0.83386	LONG	2	1	CONGRUENT	NOSWITCH	16.81106	20.00458	18.01891
21.01387	1.20788	21.01387	22.22175	24.2074	1.20788	1.90367	C	1	redcircle	red	circle	4	28	2	0.69579	LONG	2	1	INCONGRUENT	SWITCH	21.01387	24.2074	22.22175
25.21678	1.19137	25.21678	26.40815	28.4103	1.19137	2.1776	COLOR	3	greencircle	green	circle	3	5	1	0.98623	LONG	2	1	CONGRUENT	NOSWITCH	25.21678	28.4103	26.40815
31.42184	1.19135	31.42184	32.61319	34.61543	1.19135	1.95641	C	1	redcircle	red	circle	4	28	2	0.76506	LONG	2	1	INCONGRUENT	NOSWITCH	31.42184	34.61543	32.61319
35.60822	0.215109999999996	35.60822	35.82333	37.80891	0.215109999999996	1.10366	COLOR	3	redcircle	red	circle	4	28	2	0.88855	SHORT	1	1	INCONGRUENT	NOSWITCH	35.60822	37.80891	35.82333
38.81831	0.198590000000003	38.81831	39.0169	41.01908	0.198590000000003	1.19706	C	1	greentriangle	green	triangle	1	5	1	0.99847	SHORT	1	1	INCONGRUENT	NOSWITCH	38.81831	41.01908	39.0169
43.00471	0.215059999999994	43.00471	43.21977	45.22196	0.215059999999994	0.993789999999994	COLOR	3	greencircle	green	circle	3	5	1	0.77873	SHORT	1	1	CONGRUENT	NOSWITCH	43.00471	45.22196	43.21977
46.21472	1.19145	46.21472	47.40617	49.40833	1.19145	2.83574	SHAPE	4	greentriangle	green	triangle	1	28	2	1.64429	LONG	2	1	INCONGRUENT	SWITCH	46.21472	49.40833	47.40617
50.41769	0.198540000000001	50.41769	50.61623	52.6184	0.198540000000001	1.66318	S	2	redcircle	red	circle	4	5	1	1.46464	SHORT	1	1	INCONGRUENT	NOSWITCH	50.41769	52.6184	50.61623
54.62061	0.182009999999998	54.62061	54.80262	56.80474	0.182009999999998	1.09713	COLOR	3	redtriangle	red	triangle	2	28	2	0.91512	SHORT	1	1	CONGRUENT	SWITCH	54.62061	56.80474	54.80262
57.81414	0.198589999999996	57.81414	58.01273	60.01487	0.198589999999996	1.68129	C	1	greencircle	green	circle	3	5	1	1.4827	SHORT	1	1	CONGRUENT	NOSWITCH	57.81414	60.01487	58.01273
61.02422	1.19137	61.02422	62.21559	64.21775	1.19137	2.64733	COLOR	3	redcircle	red	circle	4	28	2	1.45596	LONG	2	1	INCONGRUENT	NOSWITCH	61.02422	64.21775	62.21559
65.21062	0.215139999999991	65.21062	65.42576	67.41133	0.215139999999991	1.51702999999999	C	1	redtriangle	red	triangle	2	28	2	1.30189	SHORT	1	1	CONGRUENT	NOSWITCH	65.21062	67.41133	65.42576
68.42069	0.198540000000008	68.42069	68.61923	70.62144	0.198540000000008	0.198540000000008	S	2	redtriangle	red	triangle	2	n/a	0	n/a	SHORT	1	0	CONGRUENT	SWITCH	68.42069	70.62144	68.61923
71.61428	0.198540000000008	71.61428	71.81282	73.815	0.198540000000008	0.878910000000008	SHAPE	4	redtriangle	red	triangle	2	28	2	0.68037	SHORT	1	1	CONGRUENT	NOSWITCH	71.61428	73.815	71.81282
74.80778	0.215120000000013	74.80778	75.0229	77.02509	0.215120000000013	1.32460000000001	S	2	greentriangle	green	triangle	1	28	2	1.10948	SHORT	1	1	INCONGRUENT	NOSWITCH	74.80778	77.02509	75.0229
78.01786	1.19141	78.01786	79.20927	81.21139	1.19141	1.91367	SHAPE	4	redtriangle	red	triangle	2	28	2	0.72226	LONG	2	1	CONGRUENT	NOSWITCH	78.01786	81.21139	79.20927
82.22077	1.19139	82.22077	83.41216	85.41438	1.19139	2.60245	COLOR	3	redcircle	red	circle	4	28	2	1.41106	LONG	2	1	INCONGRUENT	SWITCH	82.22077	85.41438	83.41216
87.41652	0.198529999999991	87.41652	87.61505	89.61724	0.198529999999991	1.15402999999999	C	1	greencircle	green	circle	3	5	1	0.9555	SHORT	1	1	CONGRUENT	NOSWITCH	87.41652	89.61724	87.61505
90.61008	1.20790000000001	90.61008	91.81798	93.82025	1.20790000000001	2.39882000000001	COLOR	3	greencircle	green	circle	3	5	1	1.19092	LONG	2	1	CONGRUENT	NOSWITCH	90.61008	93.82025	91.81798
94.81292	0.198589999999996	94.81292	95.01151	97.03024	0.198589999999996	0.198589999999996	C	1	redcircle	red	circle	4	n/a	0	n/a	SHORT	1	0	INCONGRUENT	NOSWITCH	94.81292	97.03024	95.01151
98.02303	0.182059999999993	98.02303	98.20509	100.2072	0.182059999999993	0.823859999999993	COLOR	3	greencircle	green	circle	3	5	1	0.6418	SHORT	1	1	CONGRUENT	NOSWITCH	98.02303	100.2072	98.20509
101.21664	1.19136	101.21664	102.408	104.41018	1.19136	2.68675	SHAPE	4	greencircle	green	circle	3	5	1	1.49539	LONG	2	1	CONGRUENT	SWITCH	101.21664	104.41018	102.408
105.41951	1.19140999999999	105.41951	106.61092	108.61311	1.19140999999999	2.08053999999999	S	2	greentriangle	green	triangle	1	28	2	0.88913	LONG	2	1	INCONGRUENT	NOSWITCH	105.41951	108.61311	106.61092
109.62245	1.19132999999999	109.62245	110.81378	112.81597	1.19132999999999	2.87892999999999	SHAPE	4	greencircle	green	circle	3	5	1	1.6876	LONG	2	1	CONGRUENT	NOSWITCH	109.62245	112.81597	110.81378
114.81812	0.198600000000013	114.81812	115.01672	117.01891	0.198600000000013	2.09647000000001	S	2	redcircle	red	circle	4	5	1	1.89787	SHORT	1	1	INCONGRUENT	NOSWITCH	114.81812	117.01891	115.01672
119.02111	1.19134000000001	119.02111	120.21245	122.21461	1.19134000000001	2.65815000000001	SHAPE	4	greentriangle	green	triangle	1	28	2	1.46681	LONG	2	1	INCONGRUENT	NOSWITCH	119.02111	122.21461	120.21245
123.20744	0.215099999999993	123.20744	123.42254	125.40823	0.215099999999993	1.87494999999999	C	1	redtriangle	red	triangle	2	28	2	1.65985	SHORT	1	1	CONGRUENT	SWITCH	123.20744	125.40823	123.42254
126.41753	1.20789000000001	126.41753	127.62542	129.61105	1.20789000000001	2.60200000000001	COLOR	3	redcircle	red	circle	4	28	2	1.39411	LONG	2	1	INCONGRUENT	NOSWITCH	126.41753	129.61105	127.62542
130.62043	0.198560000000015	130.62043	130.81899	132.82114	0.198560000000015	0.198560000000015	C	1	greentriangle	green	triangle	1	n/a	0	n/a	SHORT	1	0	INCONGRUENT	NOSWITCH	130.62043	132.82114	130.81899
134.82333	0.182050000000004	134.82333	135.00538	137.00751	0.182050000000004	1.34689	COLOR	3	greentriangle	green	triangle	1	5	1	1.16484	SHORT	1	1	INCONGRUENT	NOSWITCH	134.82333	137.00751	135.00538
