onset	duration	trial_number	trial_type	trial_type_coded	reaction_time	expected_response_coded	response	response_coded	accuracy	accuracy_scrambled	accuracy_task	rec_codes_during_enc	onset_probe	onset_noTriggerAdjust	onset_probe_noTriggerAdjust
0.0321609210000133	2	1	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	0.0817205870000066	0.0321609210000133	0.0817205870000066
4.51633090999997	2	2	CONTROL	1	n/a	2	n/a	n/a	0	0	0	0	4.53286124600004	4.51633090999997	4.53286124600004
11.515699204	4	3	TASK	2	1.19626139399998	1	LEFT	5	1	0	1	16	12.508464408	11.515699204	12.508464408
19.524332272	2	4	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	19.540835597	19.524332272	19.540835597
22.056037399	4	5	TASK	2	0.834913369999981	2	RIGHT	28	1	0	1	28	23.0157382690001	22.056037399	23.0157382690001
38.520136135	4	6	TASK	2	1.37592416200005	1	LEFT	5	1	0	1	1	39.512970584	38.520136135	39.512970584
49.507291754	2	7	CONTROL	1	1.35435278900002	2	RIGHT	28	1	1	0	0	49.523833481	49.507291754	49.523833481
56.506610591	2	8	CONTROL	1	1.14099798000007	2	RIGHT	28	1	1	0	0	56.523196741	56.506610591	56.523196741
66.021077627	4	9	TASK	2	1.14774658199997	2	RIGHT	28	1	0	1	33	67.013881972	66.021077627	67.013881972
70.521827785	2	10	CONTROL	1	n/a	2	n/a	n/a	0	0	0	0	70.538374639	70.521827785	70.538374639
76.015385866	4	11	TASK	2	0.871894146999921	2	RIGHT	28	1	0	1	17	77.0081970270001	76.015385866	77.0081970270001
81.5089117800001	4	12	TASK	2	0.941044007999949	2	RIGHT	28	1	0	1	11	82.501771799	81.5089117800001	82.501771799
92.512681319	4	13	TASK	2	1.50458691999995	1	LEFT	5	1	0	1	8	93.505440634	92.512681319	93.505440634
98.022770831	2	14	CONTROL	1	1.73316988700003	1	LEFT	5	1	1	0	0	98.039314691	98.022770831	98.039314691
104.525674033	4	15	TASK	2	1.40463207700009	1	LEFT	5	1	0	1	5	105.501903011	104.525674033	105.501903011
109.009896559	2	16	CONTROL	1	2.063113058	1	LEFT	5	1	1	0	0	109.026368269	109.009896559	109.026368269
112.021467515	2	17	CONTROL	1	1.04305150200003	2	RIGHT	28	1	1	0	0	112.03799721	112.021467515	112.03799721
118.50777625	4	18	TASK	2	0.873666522999997	2	RIGHT	28	1	0	1	25	119.517187883	118.50777625	119.517187883
125.010720676	2	19	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	125.027271482	125.010720676	125.027271482
129.015094059	4	20	TASK	2	1.36877742600007	1	LEFT	5	1	0	1	21	130.007876582	129.015094059	130.007876582
135.005058704	4	21	TASK	2	0.813766280000095	2	RIGHT	28	1	0	1	35	136.01437813	135.005058704	136.01437813
151.005887838	4	22	TASK	2	1.26270388600005	1	LEFT	5	1	0	1	4	152.015271547	151.005887838	152.015271547
155.523178477	4	23	TASK	2	0.821026286000006	2	RIGHT	28	1	0	1	34	156.515949862	155.523178477	156.515949862
161.016749797	2	24	CONTROL	1	1.37042588700001	2	RIGHT	28	1	1	0	0	161.033306613	161.016749797	161.033306613
165.021084626	2	25	CONTROL	1	1.04085464699995	1	LEFT	5	1	1	0	0	165.037629837	165.021084626	165.037629837
174.518967088	2	26	CONTROL	1	0.849071375999984	2	RIGHT	28	1	1	0	0	174.535501756	174.518967088	174.535501756
179.516182171	2	27	CONTROL	1	0.709036832000038	2	RIGHT	28	1	1	0	0	179.53264429	179.516182171	179.53264429
182.047824766	4	28	TASK	2	0.795976426000038	2	RIGHT	28	1	0	1	15	183.007586897	182.047824766	183.007586897
189.014075635	2	29	CONTROL	1	0.855939755999998	2	RIGHT	28	1	1	0	0	189.030639578	189.014075635	189.030639578
193.018447347	4	30	TASK	2	0.847866072000102	2	RIGHT	28	1	0	1	36	194.011210359	193.018447347	194.011210359
202.019953265	4	31	TASK	2	1.12247256399996	2	RIGHT	28	1	0	1	14	203.012683412	202.019953265	203.012683412
209.515680315	4	32	TASK	2	1.30678308000006	1	LEFT	5	1	0	1	77	210.508453271	209.515680315	210.508453271
