onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.03233	1.17478	0.03233	1.20711	3.20928	1.17478	2.23173	COLOR	3	greentriangle	green	triangle	1	28	2	1.05695	LONG	2	1	INCONGRUENT	NOSWITCH	0.03233	3.20928	1.20711
4.21866	1.20795	4.21866	5.42661	7.41221	1.20795	3.10658	C	1	redcircle	red	circle	4	5	1	1.89863	LONG	2	1	INCONGRUENT	NOSWITCH	4.21866	7.41221	5.42661
8.42156	0.18202	8.42156	8.60358	10.62231	0.18202	1.5258	SHAPE	4	greentriangle	green	triangle	1	5	1	1.34378	SHORT	1	1	INCONGRUENT	SWITCH	8.42156	10.62231	8.60358
12.60792	0.21509	12.60792	12.82301	14.82526	0.21509	0.21509	S	2	redtriangle	red	triangle	2	n/a	0	n/a	SHORT	1	0	CONGRUENT	NOSWITCH	12.60792	14.82526	12.82301
16.81081	1.2079	16.81081	18.01871	20.02098	1.2079	2.14906	SHAPE	4	redtriangle	red	triangle	2	5	1	0.94116	LONG	2	1	CONGRUENT	NOSWITCH	16.81081	20.02098	18.01871
21.01381	1.19128	21.01381	22.20509	24.22386	1.19128	2.49642	C	1	redcircle	red	circle	4	5	1	1.30514	LONG	2	1	INCONGRUENT	SWITCH	21.01381	24.22386	22.20509
25.21664	1.19139	25.21664	26.40803	28.41025	1.19139	1.70274	COLOR	3	greencircle	green	circle	3	28	2	0.51135	LONG	2	1	CONGRUENT	NOSWITCH	25.21664	28.41025	26.40803
31.40519	1.20793	31.40519	32.61312	34.61537	1.20793	1.76347	C	1	redcircle	red	circle	4	5	1	0.55554	LONG	2	1	INCONGRUENT	NOSWITCH	31.40519	34.61537	32.61312
35.62467	0.182029999999997	35.62467	35.8067	37.8088	0.182029999999997	1.06078	COLOR	3	redcircle	red	circle	4	5	1	0.87875	SHORT	1	1	INCONGRUENT	NOSWITCH	35.62467	37.8088	35.8067
38.81825	0.198540000000001	38.81825	39.01679	41.01893	0.198540000000001	1.97066	C	1	greentriangle	green	triangle	1	28	2	1.77212	SHORT	1	1	INCONGRUENT	NOSWITCH	38.81825	41.01893	39.01679
43.00454	0.215090000000004	43.00454	43.21963	45.22186	0.215090000000004	1.03442	COLOR	3	greencircle	green	circle	3	28	2	0.81933	SHORT	1	1	CONGRUENT	NOSWITCH	43.00454	45.22186	43.21963
46.21465	1.19134	46.21465	47.40599	49.42482	1.19134	1.77096	SHAPE	4	greentriangle	green	triangle	1	5	1	0.57962	LONG	2	1	INCONGRUENT	SWITCH	46.21465	49.42482	47.40599
50.41759	0.198620000000005	50.41759	50.61621	52.6183	0.198620000000005	0.198620000000005	S	2	redcircle	red	circle	4	n/a	0	n/a	SHORT	1	0	INCONGRUENT	NOSWITCH	50.41759	52.6183	50.61621
54.62048	0.19858	54.62048	54.81906	56.82124	0.19858	1.34915	COLOR	3	redtriangle	red	triangle	2	5	1	1.15057	SHORT	1	1	CONGRUENT	SWITCH	54.62048	56.82124	54.81906
57.81405	0.198499999999996	57.81405	58.01255	60.01472	0.198499999999996	2.03861	C	1	greencircle	green	circle	3	28	2	1.84011	SHORT	1	1	CONGRUENT	NOSWITCH	57.81405	60.01472	58.01255
61.02414	1.19137	61.02414	62.21551	64.21765	1.19137	1.79065	COLOR	3	redcircle	red	circle	4	5	1	0.59928	LONG	2	1	INCONGRUENT	NOSWITCH	61.02414	64.21765	62.21551
65.21048	0.21508	65.21048	65.42556	67.4112	0.21508	1.66714	C	1	redtriangle	red	triangle	2	5	1	1.45206	SHORT	1	1	CONGRUENT	NOSWITCH	65.21048	67.4112	65.42556
68.42058	0.198509999999999	68.42058	68.61909	70.62126	0.198509999999999	1.60433	S	2	redtriangle	red	triangle	2	5	1	1.40582	SHORT	1	1	CONGRUENT	SWITCH	68.42058	70.62126	68.61909
71.61409	0.198569999999989	71.61409	71.81266	73.81484	0.198569999999989	1.24984999999999	SHAPE	4	redtriangle	red	triangle	2	5	1	1.05128	SHORT	1	1	CONGRUENT	NOSWITCH	71.61409	73.81484	71.81266
74.80769	0.215100000000007	74.80769	75.02279	77.00844	0.215100000000007	1.15106000000001	S	2	greentriangle	green	triangle	1	5	1	0.93596	SHORT	1	1	INCONGRUENT	NOSWITCH	74.80769	77.00844	75.02279
