onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.01571	1.20798	0.01571	1.22369	3.20927	1.20798	1.68723	COLOR	3	greencircle	green	circle	3	5	1	0.47925	LONG	2	1	CONGRUENT	NOSWITCH	0.01571	3.20927	1.22369
4.21866	1.19137	4.21866	5.41003	7.41231	1.19137	1.85332	SHAPE	4	redcircle	red	circle	4	5	1	0.66195	LONG	2	1	INCONGRUENT	SWITCH	4.21866	7.41231	5.41003
8.42157	1.19136	8.42157	9.61293	11.61512	1.19136	1.71996	S	2	greencircle	green	circle	3	5	1	0.5286	LONG	2	1	CONGRUENT	NOSWITCH	8.42157	11.61512	9.61293
12.60793	1.20788	12.60793	13.81581	15.81804	1.20788	1.74723	SHAPE	4	redcircle	red	circle	4	5	1	0.53935	LONG	2	1	INCONGRUENT	NOSWITCH	12.60793	15.81804	13.81581
17.80367	1.20789	17.80367	19.01156	21.01376	1.20789	1.65154	S	2	greentriangle	green	triangle	1	28	2	0.44365	LONG	2	1	INCONGRUENT	NOSWITCH	17.80367	21.01376	19.01156
22.02308	1.19145	22.02308	23.21453	25.21674	1.19145	1.73029	SHAPE	4	redcircle	red	circle	4	5	1	0.53884	LONG	2	1	INCONGRUENT	NOSWITCH	22.02308	25.21674	23.21453
26.20945	0.215129999999998	26.20945	26.42458	28.4102	0.215129999999998	0.783029999999998	S	2	redtriangle	red	triangle	2	28	2	0.5679	SHORT	1	1	CONGRUENT	NOSWITCH	26.20945	28.4102	26.42458
29.41957	1.19141	29.41957	30.61098	32.61314	1.19141	1.71821	C	1	redcircle	red	circle	4	28	2	0.5268	LONG	2	1	INCONGRUENT	SWITCH	29.41957	32.61314	30.61098
34.6153	0.198480000000004	34.6153	34.81378	36.81604	0.198480000000004	0.753180000000004	COLOR	3	greencircle	green	circle	3	5	1	0.5547	SHORT	1	1	CONGRUENT	NOSWITCH	34.6153	36.81604	34.81378
37.80881	0.215220000000002	37.80881	38.02403	40.00958	0.215220000000002	0.866270000000002	C	1	greentriangle	green	triangle	1	28	2	0.65105	SHORT	1	0	INCONGRUENT	NOSWITCH	37.80881	40.00958	38.02403
41.01896	0.198560000000001	41.01896	41.21752	43.20312	0.198560000000001	0.700280000000001	SHAPE	4	redtriangle	red	triangle	2	28	2	0.50172	SHORT	1	1	CONGRUENT	SWITCH	41.01896	43.20312	41.21752
44.21251	0.198569999999997	44.21251	44.41108	46.41323	0.198569999999997	0.811089999999997	C	1	redtriangle	red	triangle	2	28	2	0.61252	SHORT	1	1	CONGRUENT	SWITCH	44.21251	46.41323	44.41108
47.42257	1.19142	47.42257	48.61399	50.6161	1.19142	1.62098	COLOR	3	redcircle	red	circle	4	28	2	0.42956	LONG	2	1	INCONGRUENT	NOSWITCH	47.42257	50.6161	48.61399
51.60893	1.20791	51.60893	52.81684	54.81906	1.20791	1.69359	C	1	redtriangle	red	triangle	2	28	2	0.48568	LONG	2	1	CONGRUENT	NOSWITCH	51.60893	54.81906	52.81684
56.8047	1.20788	56.8047	58.01258	60.01472	1.20788	1.66642	S	2	redtriangle	red	triangle	2	28	2	0.45854	LONG	2	1	CONGRUENT	SWITCH	56.8047	60.01472	58.01258
61.00759	1.20789	61.00759	62.21548	64.21761	1.20789	1.61123	SHAPE	4	redtriangle	red	triangle	2	28	2	0.40334	LONG	2	1	CONGRUENT	NOSWITCH	61.00759	64.21761	62.21548
65.22701	1.19135999999999	65.22701	66.41837	68.42055	1.19135999999999	1.92475999999999	S	2	redcircle	red	circle	4	5	1	0.7334	LONG	2	1	INCONGRUENT	NOSWITCH	65.22701	68.42055	66.41837
70.42272	0.182010000000005	70.42272	70.60473	72.60697	0.182010000000005	1.13313000000001	COLOR	3	greentriangle	green	triangle	1	5	1	0.95112	SHORT	1	1	INCONGRUENT	SWITCH	70.42272	72.60697	70.60473
73.61631	1.19135	73.61631	74.80766	76.80983	1.19135	1.70371	S	2	greencircle	green	circle	3	5	1	0.51236	LONG	2	1	CONGRUENT	SWITCH	73.61631	76.80983	74.80766
78.812	0.198560000000001	78.812	79.01056	81.01275	0.198560000000001	0.766400000000001	SHAPE	4	redcircle	red	circle	4	5	1	0.56784	SHORT	1	1	INCONGRUENT	NOSWITCH	78.812	81.01275	79.01056
82.02208	0.182009999999991	82.02208	82.20409	84.22286	0.182009999999991	0.850359999999991	S	2	redtriangle	red	triangle	2	28	2	0.66835	SHORT	1	1	CONGRUENT	NOSWITCH	82.02208	84.22286	82.20409
86.20846	0.198570000000004	86.20846	86.40703	88.4258	0.198570000000004	0.685880000000004	SHAPE	4	greencircle	green	circle	3	5	1	0.48731	SHORT	1	1	CONGRUENT	NOSWITCH	86.20846	88.4258	86.40703
91.40423	0.215050000000005	91.40423	91.61928	93.62149	0.215050000000005	1.12596	COLOR	3	redtriangle	red	triangle	2	28	2	0.91091	SHORT	1	1	CONGRUENT	SWITCH	91.40423	93.62149	91.61928
94.61432	1.19132999999999	94.61432	95.80565	97.80782	1.19132999999999	2.01807999999999	S	2	redcircle	red	circle	4	5	1	0.82675	LONG	2	1	INCONGRUENT	SWITCH	94.61432	97.80782	95.80565
100.81938	0.198570000000004	100.81938	101.01795	103.02014	0.198570000000004	0.823050000000004	SHAPE	4	redtriangle	red	triangle	2	28	2	0.62448	SHORT	1	1	CONGRUENT	NOSWITCH	100.81938	103.02014	101.01795
104.01289	1.20797	104.01289	105.22086	107.20655	1.20797	1.92756	COLOR	3	greentriangle	green	triangle	1	5	1	0.71959	LONG	2	1	INCONGRUENT	SWITCH	104.01289	107.20655	105.22086
109.20862	0.215159999999997	109.20862	109.42378	111.40938	0.215159999999997	0.864989999999997	C	1	redtriangle	red	triangle	2	28	2	0.64983	SHORT	1	1	CONGRUENT	NOSWITCH	109.20862	111.40938	109.42378
113.41154	1.1914	113.41154	114.60294	116.60505	1.1914	1.67751	COLOR	3	greencircle	green	circle	3	5	1	0.48611	LONG	2	1	CONGRUENT	NOSWITCH	113.41154	116.60505	114.60294
117.61444	0.198589999999996	117.61444	117.81303	119.81518	0.198589999999996	0.738289999999996	C	1	redcircle	red	circle	4	28	2	0.5397	SHORT	1	1	INCONGRUENT	NOSWITCH	117.61444	119.81518	117.81303
121.81738	0.198539999999994	121.81738	122.01592	124.01808	0.198539999999994	0.904539999999994	S	2	redcircle	red	circle	4	5	1	0.706	SHORT	1	1	INCONGRUENT	SWITCH	121.81738	124.01808	122.01592
126.02021	1.19139999999999	126.02021	127.21161	129.21391	1.19139999999999	1.56692999999999	SHAPE	4	greentriangle	green	triangle	1	28	2	0.37553	LONG	2	1	INCONGRUENT	NOSWITCH	126.02021	129.21391	127.21161
130.20665	1.2079	130.20665	131.41455	133.41668	1.2079	1.59859	C	1	redtriangle	red	triangle	2	28	2	0.39069	LONG	2	1	CONGRUENT	SWITCH	130.20665	133.41668	131.41455
135.41893	0.198550000000012	135.41893	135.61748	137.60307	0.198550000000012	0.669520000000012	COLOR	3	greentriangle	green	triangle	1	5	1	0.47097	SHORT	1	1	INCONGRUENT	NOSWITCH	135.41893	137.60307	135.61748
