onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.078912255765772	3	1	CORRECTLY	3.45718726823407	5	SURE_CORRECT	3	6	0.078912255765772
4.52203264377886	3	2	INCORRECTLY	1.81173753922076	28	MAYBE_CORRECT	55	0	4.52203264377886
13.0106076940297	2	3	CONTROL	1.91404509497033	5	n/a	1000	0	13.0106076940297
16.0778500185147	3	4	CORRECTLY	3.19922041348491	28	MAYBE_CORRECT	12	0	16.0778500185147
21.0183694667789	3	5	CORRECTLY	1.50455333422087	21	SURE_INCORRECT	8	15	21.0183694667789
25.0802769385277	2	6	CONTROL	2.720554561472	28	n/a	1000	0	25.0802769385277
29.0096577115146	3	7	INCORRECTLY	2.15557224948543	21	SURE_INCORRECT	59	0	29.0096577115146
36.0059188160294	3	8	CORRECTLY	1.67811755097046	10	MAYBE_INCORRECT	7	13	36.0059188160294
40.5154801137787	3	9	INCORRECTLY	2.02847184522125	21	SURE_INCORRECT	68	0	40.5154801137787
47.0146092352766	3	10	INCORRECTLY	1.20016355872349	5	SURE_CORRECT	64	0	47.0146092352766
51.0764542595275	3	11	CORRECTLY	1.93572889247253	28	MAYBE_CORRECT	6	12	51.0764542595275
56.0170249847788	2	12	CONTROL	1.43213849222093	5	n/a	1000	0	56.0170249847788
61.5213617775275	3	13	INCORRECTLY	1.83054588147252	21	SURE_INCORRECT	78	0	61.5213617775275
65.5667686275146	3	14	CORRECTLY	1.35136113948511	10	MAYBE_INCORRECT	16	31	65.5667686275146
69.5788103607788	3	15	CORRECTLY	1.69061745122099	5	SURE_CORRECT	14	0	69.5788103607788
75.0168953762682	3	16	CORRECTLY	1.73667837373159	28	MAYBE_CORRECT	1	3	75.0168953762682
79.0787407817788	3	17	CORRECTLY	1.44553820622104	21	SURE_INCORRECT	5	11	79.0787407817788
83.5219771595275	3	18	INCORRECTLY	1.84081008147223	21	SURE_INCORRECT	51	0	83.5219771595275
90.0210399017787	3	19	INCORRECTLY	2.17045863722115	28	MAYBE_CORRECT	47	0	90.0210399017787
94.066455411757	3	20	INCORRECTLY	1.59353865324283	10	MAYBE_INCORRECT	66	0	94.066455411757
99.0069523307789	3	21	CORRECTLY	2.52907812722106	21	SURE_INCORRECT	10	20	99.0069523307789
103.068893017528	3	22	INCORRECTLY	1.911273104472	5	SURE_CORRECT	48	0	103.068893017528
107.081026936528	3	23	INCORRECTLY	2.44815385347192	21	SURE_INCORRECT	52	0	107.081026936528
115.022405820779	3	24	INCORRECTLY	1.69018275122107	5	SURE_CORRECT	45	0	115.022405820779
119.515468153008	3	25	CORRECTLY	1.51195547799125	28	MAYBE_CORRECT	9	18	119.515468153008
125.517149225268	3	26	INCORRECTLY	2.11925891273177	10	MAYBE_INCORRECT	42	0	125.517149225268
131.021334223779	3	27	INCORRECTLY	2.27384453222112	5	SURE_CORRECT	80	0	131.021334223779
137.006493260528	3	28	CORRECTLY	2.025176571472	28	MAYBE_CORRECT	2	5	137.006493260528
142.01336309403	2	29	CONTROL	1.90083059897051	10	n/a	1000	0	142.01336309403
145.080555364779	3	30	INCORRECTLY	2.15654642422123	5	SURE_CORRECT	56	0	145.080555364779
150.518550190779	3	31	INCORRECTLY	2.4484564142208	28	MAYBE_CORRECT	43	0	150.518550190779
155.011473652779	3	32	INCORRECTLY	2.7085516902207	10	MAYBE_INCORRECT	58	0	155.011473652779
159.521002036779	3	33	CORRECTLY	1.62007036622072	21	SURE_INCORRECT	4	9	159.521002036779
167.014822476779	3	34	CORRECTLY	2.52722688022095	28	MAYBE_CORRECT	13	0	167.014822476779
