onset	duration	trial_number	trial_type	trial_type_coded	reaction_time	expected_response_coded	response	response_coded	accuracy	accuracy_scrambled	accuracy_task	rec_codes_during_enc	onset_probe	onset_noTriggerAdjust	onset_probe_noTriggerAdjust
0.0157948309999938	2	1	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	0.0323560219999308	0.0157948309999938	0.0323560219999308
4.51669741000001	2	2	CONTROL	1	n/a	2	n/a	n/a	0	0	0	0	4.5331099519999	4.51669741000001	4.5331099519999
11.515910589	4	3	TASK	2	1.45393936200003	1	LEFT	5	1	0	1	16	12.5087682179999	11.515910589	12.5087682179999
19.5245986469999	2	4	CONTROL	1	n/a	1	n/a	n/a	0	0	0	0	19.541188874	19.5245986469999	19.541188874
22.056329668	4	5	TASK	2	1.00969475400007	2	RIGHT	28	1	0	1	28	23.0160053029999	22.056329668	23.0160053029999
38.5204111649998	4	6	TASK	2	1.56467491500007	1	LEFT	5	1	0	1	1	39.5132579899998	38.5204111649998	39.5132579899998
49.507562582	2	7	CONTROL	1	n/a	2	n/a	n/a	0	0	0	0	49.5241436809999	49.507562582	49.5241436809999
56.5069445469999	2	8	CONTROL	1	n/a	2	n/a	n/a	0	0	0	0	56.5234539369999	56.5069445469999	56.5234539369999
66.0213703929999	4	9	TASK	2	0.849414649999972	2	RIGHT	28	1	0	1	33	67.0141972629999	66.0213703929999	67.0141972629999
70.5221716219999	2	10	CONTROL	1	1.32169752100003	2	RIGHT	28	1	1	0	0	70.5387283479999	70.5221716219999	70.5387283479999
76.0157372639999	4	11	TASK	2	1.59170772900006	2	RIGHT	28	1	0	1	17	77.0085447259999	76.0157372639999	77.0085447259999
81.5092730299998	4	12	TASK	2	1.37686826400022	2	RIGHT	28	1	0	1	11	82.5020565809998	81.5092730299998	82.5020565809998
92.5129298449999	4	13	TASK	2	1.02661130399997	1	LEFT	5	1	0	1	8	93.505784687	92.5129298449999	93.505784687
98.0230645719998	2	14	CONTROL	1	1.06841157999997	1	LEFT	5	1	1	0	0	98.039558768	98.0230645719998	98.039558768
104.509487901	4	15	TASK	2	1.05143900000007	1	LEFT	5	1	0	1	5	105.50227835	104.509487901	105.50227835
109.010126347	2	16	CONTROL	1	0.843162562000089	1	LEFT	5	1	1	0	0	109.02668983	109.010126347	109.02668983
112.021687891	2	17	CONTROL	1	0.677690898000037	2	RIGHT	28	1	1	0	0	112.038278775	112.021687891	112.038278775
118.508069104	4	18	TASK	2	0.753103753999994	2	RIGHT	28	1	0	1	25	119.517403426	118.508069104	119.517403426
125.011024815	2	19	CONTROL	1	1.14885162099995	1	LEFT	5	1	1	0	0	125.027639982	125.011024815	125.027639982
129.015401637	4	20	TASK	2	0.923987986000157	1	LEFT	5	1	0	1	21	130.008152542	129.015401637	130.008152542
135.005304455	4	21	TASK	2	0.869369782999911	2	RIGHT	28	1	0	1	35	136.014687015	135.005304455	136.014687015
151.006180233	4	22	TASK	2	0.671629877999976	1	LEFT	5	1	0	1	4	152.01555833	151.006180233	152.01555833
155.523533045	4	23	TASK	2	0.84935042799998	2	RIGHT	28	1	0	1	34	156.516273362	155.523533045	156.516273362
161.017057028	2	24	CONTROL	1	0.851953584999819	2	RIGHT	28	1	1	0	0	161.033618529	161.017057028	161.033618529
165.02136052	2	25	CONTROL	1	0.574414121000018	1	LEFT	5	1	1	0	0	165.03794043	165.02136052	165.03794043
174.519268811	2	26	CONTROL	1	0.602243957999917	2	RIGHT	28	1	1	0	0	174.535810061	174.519268811	174.535810061
179.516446123	2	27	CONTROL	1	0.465743651000139	2	RIGHT	28	1	1	0	0	179.533024928	179.516446123	179.533024928
182.048156111	4	28	TASK	2	0.690460568999924	2	RIGHT	28	1	0	1	15	183.007819464	182.048156111	183.007819464
189.014378493	2	29	CONTROL	1	0.557436135999978	2	RIGHT	28	1	1	0	0	189.030940613	189.014378493	189.030940613
193.018677597	4	30	TASK	2	0.773449509000102	2	RIGHT	28	1	0	1	36	194.011520919	193.018677597	194.011520919
202.020195089	4	31	TASK	2	0.804701982000097	2	RIGHT	28	1	0	1	14	203.013037155	202.020195089	203.013037155
209.515958049	4	32	TASK	2	0.675845023000193	1	LEFT	5	1	0	1	77	210.508731222	209.515958049	210.508731222
216.018895761	2	33	CONTROL	1	0.789710258000014	2	RIGHT	28	1	1	0	0	216.035412548	216.018895761	216.035412548
220.519630499	4	34	TASK	2	0.618190402999971	1	LEFT	5	1	0	1	87	221.512456417	220.519630499	221.512456417
226.013206695	4	35	TASK	2	0.715969560000076	1	LEFT	5	1	0	1	73	227.005987707	226.013206695	227.005987707
240.011853548	4	36	TASK	2	0.599216654999964	1	LEFT	5	1	0	1	94	241.004642388	240.011853548	241.004642388
254.010527887	4	37	TASK	2	0.91937811899993	1	LEFT	5	1	0	1	64	255.003383817	254.010527887	255.003383817
261.522878153	4	38	TASK	2	0.789004029000125	2	RIGHT	28	1	0	1	69	262.515629468	261.522878153	262.515629468
280.005737054	2	39	CONTROL	1	0.563570854999853	1	LEFT	5	1	1	0	0	280.022237873	280.005737054	280.022237873
283.017196498	4	40	TASK	2	0.715253005000022	2	RIGHT	28	1	0	1	97	284.010028176	283.017196498	284.010028176
292.01872628	4	41	TASK	2	0.611140921000015	1	LEFT	5	1	0	1	63	293.011536816	292.01872628	293.011536816
297.512321249	2	42	CONTROL	1	0.819533864999812	1	LEFT	5	1	1	0	0	297.528883661	297.512321249	297.528883661
305.504452329	2	43	CONTROL	1	0.589729757999976	1	LEFT	5	1	1	0	0	305.520953039	305.504452329	305.520953039
316.508118354	4	44	TASK	2	0.90219722400002	1	LEFT	5	1	0	1	70	317.517505825	316.508118354	317.517505825
324.003835576	4	45	TASK	2	0.843073172999993	1	LEFT	5	1	0	1	104	325.013282225	324.003835576	325.013282225
331.003151432	2	46	CONTROL	1	0.845092389999991	1	LEFT	5	1	1	0	0	331.019722356	331.003151432	331.019722356
336.513285211	4	47	TASK	2	0.524156685999969	2	RIGHT	28	1	0	1	45	337.506101309	336.513285211	337.506101309
347.020605175	4	48	TASK	2	0.727857338000149	2	RIGHT	28	1	0	1	83	348.013423671	347.020605175	348.013423671
358.024191417	2	49	CONTROL	1	0.629907673000162	1	LEFT	5	1	1	0	0	358.04077772	358.024191417	358.04077772
363.021416448	2	50	CONTROL	1	0.526310852999814	2	RIGHT	28	1	1	0	0	363.037964912	363.021416448	363.037964912
370.517113667	2	51	CONTROL	1	0.499664641999971	2	RIGHT	28	1	1	0	0	370.533650077	370.517113667	370.533650077
376.507089673	4	52	TASK	2	0.557243851000067	2	RIGHT	28	1	0	1	93	377.516520201	376.507089673	377.516520201
383.506504067	4	53	TASK	2	0.588360125999998	1	LEFT	5	1	0	1	46	384.515783548	383.506504067	384.515783548
