onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.03	1.1937	0.03	1.2237	3.21326	1.1937	1.82867	COLOR	3	greencircle	green	circle	3	5	1	0.63497	LONG	2	1	CONGRUENT	NOSWITCH	0.03	3.21326	1.2237
4.2245	1.19375	4.2245	5.41825	7.40776	1.19375	2.38264	SHAPE	4	redcircle	red	circle	4	28	2	1.18889	LONG	2	0	INCONGRUENT	SWITCH	4.2245	7.40776	5.41825
8.41907	1.19369	8.41907	9.61276	11.6189	1.19369	2.24351	S	2	greencircle	green	circle	3	5	1	1.04982	LONG	2	1	CONGRUENT	NOSWITCH	8.41907	11.6189	9.61276
12.61356	1.2103	12.61356	13.82386	15.81341	1.2103	1.86432	SHAPE	4	redcircle	red	circle	4	5	1	0.65402	LONG	2	1	INCONGRUENT	NOSWITCH	12.61356	15.81341	13.82386
17.81952	1.19372	17.81952	19.01324	21.01925	1.19372	1.99111	S	2	greentriangle	green	triangle	1	28	2	0.79739	LONG	2	1	INCONGRUENT	NOSWITCH	17.81952	21.01925	19.01324
22.01398	1.21032	22.01398	23.2243	25.21376	1.21032	1.96094	SHAPE	4	redcircle	red	circle	4	5	1	0.75062	LONG	2	1	INCONGRUENT	NOSWITCH	22.01398	25.21376	23.2243
26.22513	0.198910000000001	26.22513	26.42404	28.4136	0.198910000000001	0.876010000000002	S	2	redtriangle	red	triangle	2	28	2	0.6771	SHORT	1	1	CONGRUENT	NOSWITCH	26.22513	28.4136	26.42404
29.40833	1.21026	29.40833	30.61859	32.60814	1.21026	1.85384	C	1	redcircle	red	circle	4	28	2	0.64358	LONG	2	1	INCONGRUENT	SWITCH	29.40833	32.60814	30.61859
34.61425	0.215490000000003	34.61425	34.82974	36.81924	0.215490000000003	1.02365	COLOR	3	greencircle	green	circle	3	5	1	0.80816	SHORT	1	1	CONGRUENT	NOSWITCH	34.61425	36.81924	34.82974
37.814	0.199019999999997	37.814	38.01302	40.019	0.199019999999997	1.00686	C	1	greentriangle	green	triangle	1	5	1	0.80784	SHORT	1	1	INCONGRUENT	NOSWITCH	37.814	40.019	38.01302
41.01376	0.21555	41.01376	41.22931	43.21885	0.21555	0.94324	SHAPE	4	redtriangle	red	triangle	2	28	2	0.72769	SHORT	1	1	CONGRUENT	SWITCH	41.01376	43.21885	41.22931
44.21361	0.198999999999998	44.21361	44.41261	46.4186	0.198999999999998	1.2031	C	1	redtriangle	red	triangle	2	28	2	1.0041	SHORT	1	1	CONGRUENT	SWITCH	44.21361	46.4186	44.41261
47.41339	1.21028	47.41339	48.62367	50.61309	1.21028	1.73689	COLOR	3	redcircle	red	circle	4	28	2	0.52661	LONG	2	1	INCONGRUENT	NOSWITCH	47.41339	50.61309	48.62367
