onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
311.61025	0.198579999999993	311.61025	311.80883	313.81097	0.198579999999993	0.959729999999993	S	2	greentriangle	green	triangle	1	28	2	0.76115	SHORT	1	1	INCONGRUENT	NOSWITCH	311.61025	313.81097	311.80883
314.8203	1.19144	314.8203	316.01174	318.01394	1.19144	1.74035	SHAPE	4	greentriangle	green	triangle	1	28	2	0.54891	LONG	2	1	INCONGRUENT	NOSWITCH	314.8203	318.01394	316.01174
320.01603	0.198579999999993	320.01603	320.21461	322.21676	0.198579999999993	1.68601999999999	S	2	greencircle	green	circle	3	5	1	1.48744	SHORT	1	1	CONGRUENT	NOSWITCH	320.01603	322.21676	320.21461
323.20961	0.19853999999998	323.20961	323.40815	325.41033	0.19853999999998	1.05199999999998	SHAPE	4	greentriangle	green	triangle	1	28	2	0.85346	SHORT	1	1	INCONGRUENT	NOSWITCH	323.20961	325.41033	323.40815
327.41249	1.20796999999999	327.41249	328.62046	330.62271	1.20796999999999	2.75596999999999	S	2	greencircle	green	circle	3	28	2	1.548	LONG	2	0	CONGRUENT	NOSWITCH	327.41249	330.62271	328.62046
331.61544	1.19141000000002	331.61544	332.80685	334.809	1.19141000000002	2.18917000000002	SHAPE	4	greencircle	green	circle	3	5	1	0.99776	LONG	2	1	CONGRUENT	NOSWITCH	331.61544	334.809	332.80685
336.81116	0.198560000000043	336.81116	337.00972	339.01187	0.198560000000043	0.868430000000043	S	2	redtriangle	red	triangle	2	28	2	0.66987	SHORT	1	1	CONGRUENT	NOSWITCH	336.81116	339.01187	337.00972
340.00472	0.215100000000007	340.00472	340.21982	342.22201	0.215100000000007	1.09455000000001	SHAPE	4	greentriangle	green	triangle	1	28	2	0.87945	SHORT	1	1	INCONGRUENT	NOSWITCH	340.00472	342.22201	340.21982
344.22417	1.19139000000001	344.22417	345.41556	347.4177	1.19139000000001	2.04127000000001	S	2	redcircle	red	circle	4	5	1	0.84988	LONG	2	1	INCONGRUENT	NOSWITCH	344.22417	347.4177	345.41556
348.41057	0.198589999999967	348.41057	348.60916	350.61121	0.198589999999967	1.46901999999997	COLOR	3	redcircle	red	circle	4	28	2	1.27043	SHORT	1	1	INCONGRUENT	SWITCH	348.41057	350.61121	348.60916
351.62066	1.19134000000003	351.62066	352.812	354.81418	1.19134000000003	2.08005000000003	C	1	greencircle	green	circle	3	5	1	0.88871	LONG	2	1	CONGRUENT	NOSWITCH	351.62066	354.81418	352.812
356.81633	1.20794999999998	356.81633	358.02428	360.02644	1.20794999999998	1.70180999999998	COLOR	3	greentriangle	green	triangle	1	5	1	0.49386	LONG	2	1	INCONGRUENT	NOSWITCH	356.81633	360.02644	358.02428
