onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
0.02988	1.19368	0.02988	1.22356	3.2131	1.19368	1.82726	COLOR	3	greentriangle	green	triangle	1	10	0	0.63358	LONG	2	0	INCONGRUENT	NOSWITCH	0.02988	3.2131	1.22356
4.2244	1.19376	4.2244	5.41816	7.40768	1.19376	1.49686	C	1	redcircle	red	circle	4	28	2	0.3031	LONG	2	0	INCONGRUENT	NOSWITCH	4.2244	7.40768	5.41816
8.41902	0.198880000000001	8.41902	8.6179	10.62403	0.198880000000001	0.839450000000001	SHAPE	4	greentriangle	green	triangle	1	28	2	0.64057	SHORT	1	0	INCONGRUENT	SWITCH	8.41902	10.62403	8.6179
12.61351	0.21557	12.61351	12.82908	14.81857	0.21557	1.15335	S	2	redtriangle	red	triangle	2	28	2	0.93778	SHORT	1	0	CONGRUENT	NOSWITCH	12.61351	14.81857	12.82908
16.80802	1.21034	16.80802	18.01836	20.02444	1.21034	1.65305	SHAPE	4	redtriangle	red	triangle	2	28	2	0.44271	LONG	2	0	CONGRUENT	NOSWITCH	16.80802	20.02444	18.01836
21.01919	1.19373	21.01919	22.21292	24.21897	1.19373	1.72994	C	1	redcircle	red	circle	4	28	2	0.53621	LONG	2	0	INCONGRUENT	SWITCH	21.01919	24.21897	22.21292
25.21365	1.19373	25.21365	26.40738	28.41354	1.19373	1.50614	COLOR	3	greencircle	green	circle	3	10	0	0.31241	LONG	2	0	CONGRUENT	NOSWITCH	25.21365	28.41354	26.40738
31.4143	1.21029	31.4143	32.62459	34.61417	1.21029	1.67555	C	1	redcircle	red	circle	4	28	2	0.46526	LONG	2	0	INCONGRUENT	NOSWITCH	31.4143	34.61417	32.62459
35.60883	0.215530000000001	35.60883	35.82436	37.8139	0.215530000000001	0.706130000000001	COLOR	3	redcircle	red	circle	4	28	2	0.4906	SHORT	1	0	INCONGRUENT	NOSWITCH	35.60883	37.8139	35.82436
38.80869	0.215519999999998	38.80869	39.02421	41.01371	0.215519999999998	0.809939999999998	C	1	greentriangle	green	triangle	1	10	0	0.59442	SHORT	1	0	INCONGRUENT	NOSWITCH	38.80869	41.01371	39.02421
43.01978	0.198920000000001	43.01978	43.2187	45.2248	0.198920000000001	0.899360000000001	COLOR	3	greencircle	green	circle	3	10	0	0.70044	SHORT	1	0	CONGRUENT	NOSWITCH	43.01978	45.2248	43.2187
46.21959	1.19365000000001	46.21959	47.41324	49.41938	1.19365000000001	1.68311000000001	SHAPE	4	greentriangle	green	triangle	1	28	2	0.48946	LONG	2	0	INCONGRUENT	SWITCH	46.21959	49.41938	47.41324
50.41412	0.215520000000005	50.41412	50.62964	52.61916	0.215520000000005	0.761480000000005	S	2	redcircle	red	circle	4	10	0	0.54596	SHORT	1	0	INCONGRUENT	NOSWITCH	50.41412	52.61916	50.62964
54.62521	0.182309999999994	54.62521	54.80752	56.81369	0.182309999999994	0.894869999999994	COLOR	3	redtriangle	red	triangle	2	28	2	0.71256	SHORT	1	0	CONGRUENT	SWITCH	54.62521	56.81369	54.80752
57.80837	0.215560000000004	57.80837	58.02393	60.01347	0.215560000000004	0.867370000000004	C	1	greencircle	green	circle	3	10	0	0.65181	SHORT	1	0	CONGRUENT	NOSWITCH	57.80837	60.01347	58.02393
61.02474	1.19372	61.02474	62.21846	64.22456	1.19372	1.71812	COLOR	3	redcircle	red	circle	4	28	2	0.5244	LONG	2	0	INCONGRUENT	NOSWITCH	61.02474	64.22456	62.21846
65.21926	0.199039999999997	65.21926	65.4183	67.42431	0.199039999999997	0.651909999999997	C	1	redtriangle	red	triangle	2	28	2	0.45287	SHORT	1	0	CONGRUENT	NOSWITCH	65.21926	67.42431	65.4183
68.41912	0.19896	68.41912	68.61808	70.60756	0.19896	0.58283	S	2	redtriangle	red	triangle	2	28	2	0.38387	SHORT	1	0	CONGRUENT	SWITCH	68.41912	70.60756	68.61808
71.6189	0.198890000000006	71.6189	71.81779	73.80744	0.198890000000006	0.605450000000006	SHAPE	4	redtriangle	red	triangle	2	28	2	0.40656	SHORT	1	0	CONGRUENT	NOSWITCH	71.6189	73.80744	71.81779
