onset	duration	trial_number	trial_type	reaction_time	response_coded	response_str	pairno_rec	enc_codes_during_rec	onset_noTriggerAdjust
0.0787594797502607	3	1	CORRECTLY	2.47527474424987	5	SURE_CORRECT	3	6	0.0787594797502607
4.50544963868424	3	2	INCORRECTLY	1.7203929343159	28	MAYBE_CORRECT	55	0	4.50544963868424
13.0271473975135	2	3	CONTROL	1.0305538544867	5	n/a	1000	0	13.0271473975135
16.0611544194476	3	4	CORRECTLY	2.20063114455252	10	MAYBE_INCORRECT	12	0	16.0611544194476
21.0182278149737	3	5	CORRECTLY	1.43909348902662	5	SURE_CORRECT	8	15	21.0182278149737
25.0802069584347	2	6	CONTROL	1.32205515056557	28	n/a	1000	0	25.0802069584347
29.0259947938948	3	7	INCORRECTLY	3.02239164710545	21	SURE_INCORRECT	59	0	29.0259947938948
36.022408846974	3	8	CORRECTLY	3.73612741402621	5	SURE_CORRECT	7	13	36.022408846974
40.5153775834347	3	9	INCORRECTLY	1.64960317856548	28	MAYBE_CORRECT	68	0	40.5153775834347
47.0144817274345	3	10	INCORRECTLY	2.28116571756573	5	SURE_CORRECT	64	0	47.0144817274345
51.076371573974	3	11	CORRECTLY	2.52457727502588	10	MAYBE_INCORRECT	6	12	51.076371573974
56.016984624895	2	12	CONTROL	2.12805961010508	5	n/a	1000	0	56.016984624895
61.5212571759739	3	13	INCORRECTLY	2.93738292402622	5	SURE_CORRECT	78	0	61.5212571759739
65.5666890605262	3	14	CORRECTLY	1.53049090347395	5	SURE_CORRECT	16	31	65.5666890605262
69.5621753164346	3	15	CORRECTLY	2.75018920156526	10	MAYBE_INCORRECT	14	0	69.5621753164346
75.0167588629738	3	16	CORRECTLY	1.06255583002621	5	SURE_CORRECT	1	3	75.0167588629738
79.0786259714346	3	17	CORRECTLY	1.63736025556545	5	SURE_CORRECT	5	11	79.0786259714346
83.5218651879741	3	18	INCORRECTLY	1.78694547702617	5	SURE_CORRECT	51	0	83.5218651879741
90.0208926309738	3	19	INCORRECTLY	2.64286845402648	21	SURE_INCORRECT	47	0	90.0208926309738
94.0662584829738	3	20	INCORRECTLY	3.53274044902628	21	SURE_INCORRECT	66	0	94.0662584829738
99.023385087974	3	21	CORRECTLY	1.43591813502599	5	SURE_CORRECT	10	20	99.023385087974
103.068753092369	3	22	INCORRECTLY	2.89787349763128	21	SURE_INCORRECT	48	0	103.068753092369
107.064367454908	3	23	INCORRECTLY	2.51223309709212	10	MAYBE_INCORRECT	52	0	107.064367454908
115.022323047974	3	24	INCORRECTLY	1.43637559102626	28	MAYBE_CORRECT	45	0	115.022323047974
