onset	duration	trial_number	trial_type	trial_type_coded	reaction_time	expected_response_coded	response	response_coded	accuracy	accuracy_scrambled	accuracy_task	rec_codes_during_enc	onset_probe	onset_noTriggerAdjust	onset_probe_noTriggerAdjust
0.0119715812111281	2	1	CONTROL	1	0.853646889788706	1	LEFT	5	1	1	0	0	0.0452035252110363	0.0119715812111281	0.0452035252110363
4.52163175370288	2	2	CONTROL	1	0.54515838478892	2	RIGHT	28	1	1	0	0	4.53816636621104	4.52163175370288	4.53816636621104
11.5179260122277	4	3	TASK	2	1.54058891928025	1	LEFT	5	1	0	1	16	12.5127177337195	11.5179260122277	12.5127177337195
19.5257042642274	2	4	CONTROL	1	0.921969127442935	1	LEFT	5	1	1	0	0	19.5424497545569	19.5257042642274	19.5424497545569
22.0622857872277	4	5	TASK	2	1.15398383044294	2	RIGHT	28	1	0	1	28	23.007503896557	22.0622857872277	23.007503896557
38.5089311387196	4	6	TASK	2	0.96483548328024	1	LEFT	5	1	0	1	1	39.5202829797195	38.5089311387196	39.5202829797195
49.5175104977197	2	7	CONTROL	1	1.05039955037819	2	RIGHT	28	1	1	0	0	49.5341423426216	49.5175104977197	49.5341423426216
56.5139002432275	2	8	CONTROL	1	0.622665208361468	2	RIGHT	28	1	1	0	0	56.5305441576384	56.5139002432275	56.5305441576384
66.0138048002109	4	9	TASK	2	1.30388768529701	2	RIGHT	28	1	0	1	33	67.0085746167028	66.0138048002109	67.0085746167028
70.5233073422273	2	10	CONTROL	1	0.810918286788365	2	RIGHT	28	1	1	0	0	70.5398818492113	70.5233073422273	70.5398818492113
76.0110482312111	4	11	TASK	2	0.682153821935117	2	RIGHT	28	1	0	1	17	77.0058769510647	76.0110482312111	77.0058769510647
81.5153334052111	4	12	TASK	2	1.18411268478894	2	RIGHT	28	1	0	1	11	82.5100854142111	81.5153334052111	82.5100854142111
92.5073709582111	4	13	TASK	2	1.02624728744286	1	LEFT	5	1	0	1	8	93.5187418335568	92.5073709582111	93.5187418335568
98.0116925932111	2	14	CONTROL	1	1.00334730878876	1	LEFT	5	1	1	0	0	98.028220787211	98.0116925932111	98.028220787211
104.510753722211	4	15	TASK	2	1.17561358893545	1	LEFT	5	1	0	1	5	105.505552658065	104.510753722211	105.505552658065
109.020227562211	2	16	CONTROL	1	1.04169210478858	1	LEFT	5	1	1	0	0	109.036812454211	109.020227562211	109.036812454211
112.021125025719	2	17	CONTROL	1	0.867478498788842	2	RIGHT	28	1	1	0	0	112.037670351211	112.021125025719	112.037670351211
118.520082719735	4	18	TASK	2	0.663229443443015	2	RIGHT	28	1	0	1	25	119.514999469557	118.520082719735	119.514999469557
125.019220019211	2	19	CONTROL	1	0.873265762280425	1	LEFT	5	1	1	0	0	125.035777267719	125.019220019211	125.035777267719
129.014721435211	4	20	TASK	2	1.2102982487886	1	LEFT	5	1	0	1	21	130.009498612211	129.014721435211	130.009498612211
135.016411414211	4	21	TASK	2	0.699492152280072	2	RIGHT	28	1	0	1	35	136.01119962572	135.016411414211	136.01119962572
151.01539449172	4	22	TASK	2	0.78880651137797	1	LEFT	5	1	0	1	4	152.010168708622	151.01539449172	152.010168708622
155.524933193211	4	23	TASK	2	0.683919283788327	2	RIGHT	28	1	0	1	34	156.519643799211	155.524933193211	156.519643799211
161.012670316211	2	24	CONTROL	1	1.18533232029677	2	RIGHT	28	1	1	0	0	161.029234431703	161.012670316211	161.029234431703
165.024796032211	2	25	CONTROL	1	0.886747522804853	1	LEFT	5	1	1	0	0	165.041328751195	165.024796032211	165.041328751195
174.50803749972	2	26	CONTROL	1	0.761049973394165	2	RIGHT	28	1	1	0	0	174.524756797606	174.50803749972	174.524756797606
179.514978354227	2	27	CONTROL	1	0.729234388886198	2	RIGHT	28	1	1	0	0	179.531668148114	179.514978354227	179.531668148114
182.051701239703	4	28	TASK	2	1.6805235217721	2	RIGHT	28	1	0	1	15	183.013167063228	182.051701239703	183.013167063228
189.014907637211	2	29	CONTROL	1	0.697422501296842	2	RIGHT	28	1	1	0	0	189.031475136703	189.014907637211	189.031475136703
193.027018305228	4	30	TASK	2	0.886230134934976	2	RIGHT	28	1	0	1	36	194.005306338065	193.027018305228	194.005306338065
202.012935631228	4	31	TASK	2	1.52650999344269	2	RIGHT	28	1	0	1	14	203.007783059557	202.012935631228	203.007783059557
209.50673150272	4	32	TASK	2	1.48345498627987	1	LEFT	5	1	0	1	77	210.51812290972	209.50673150272	210.51812290972
216.005871018703	2	33	CONTROL	1	0.932154347788583	2	RIGHT	28	1	1	0	0	216.022360886211	216.005871018703	216.022360886211
220.515366254211	4	34	TASK	2	1.30439538178871	1	LEFT	5	1	0	1	87	221.510148003211	220.515366254211	221.510148003211
226.019711901211	4	35	TASK	2	1.56853582977192	1	LEFT	5	1	0	1	73	227.014398123228	226.019711901211	227.014398123228
240.012514150703	4	36	TASK	2	0.668209847935032	1	LEFT	5	1	0	1	94	241.007340890065	240.012514150703	241.007340890065
254.021965285211	4	37	TASK	2	0.726233557772048	1	LEFT	5	1	0	1	64	255.016667563228	254.021965285211	255.016667563228
261.515700902719	4	38	TASK	2	0.854205806280333	2	RIGHT	28	1	0	1	69	262.510491434719	261.515700902719	262.510491434719
280.018138323211	2	39	CONTROL	1	0.665862630869924	1	LEFT	5	1	1	0	0	280.03471726913	280.018138323211	280.03471726913
283.019005631703	4	40	TASK	2	0.700127398772565	2	RIGHT	28	1	0	1	97	284.013674289227	283.019005631703	284.013674289227
292.021445475228	4	41	TASK	2	0.761564797789106	1	LEFT	5	1	0	1	63	293.016258799211	292.021445475228	293.016258799211
297.52576311372	2	42	CONTROL	1	1.05030959928035	1	LEFT	5	1	1	0	0	297.54232028872	297.52576311372	297.54232028872
305.516872240228	2	43	CONTROL	1	0.537300302378299	1	LEFT	5	1	1	0	0	305.533614764622	305.516872240228	305.533614764622
316.508950080211	4	44	TASK	2	0.62122544329668	1	LEFT	5	1	0	1	70	317.520328584703	316.508950080211	317.520328584703
324.019344293211	4	45	TASK	2	1.61369674078878	1	LEFT	5	1	0	1	104	325.014114311211	324.019344293211	325.014114311211
331.015753826211	2	46	CONTROL	1	1.15550509728018	1	LEFT	5	1	1	0	0	331.03227254372	331.015753826211	331.03227254372
336.520079103211	4	47	TASK	2	1.12576750678863	2	RIGHT	28	1	0	1	45	337.514816363211	336.520079103211	337.514816363211
347.014652281719	4	48	TASK	2	0.617792086296959	2	RIGHT	28	1	0	1	83	348.009443942703	347.014652281719	348.009443942703
358.02323197872	2	49	CONTROL	1	0.683571002378358	1	LEFT	5	1	1	0	0	358.039939979622	358.02323197872	358.039939979622
363.01358177772	2	50	CONTROL	1	0.603986884886126	2	RIGHT	28	1	1	0	0	363.030269278114	363.01358177772	363.030269278114
370.523958881227	2	51	CONTROL	1	0.661318100280369	2	RIGHT	28	1	1	0	0	370.540582011719	370.523958881227	370.540582011719
376.509117806703	4	52	TASK	2	0.743926503788771	2	RIGHT	28	1	0	1	93	377.520446120211	376.509117806703	377.520446120211
383.522079289719	4	53	TASK	2	1.38451696928041	1	LEFT	5	1	0	1	46	384.516818272719	383.522079289719	384.516818272719
390.51844412872	4	54	TASK	2	1.00899353693512	2	RIGHT	28	1	0	1	96	391.513307341065	390.51844412872	391.513307341065
405.008762039211	4	55	TASK	2	0.755819358772442	2	RIGHT	28	1	0	1	49	406.020032979227	405.008762039211	406.020032979227
412.021741254211	4	56	TASK	2	0.804036931789142	2	RIGHT	28	1	0	1	103	413.016506952211	412.021741254211	413.016506952211
418.520805098703	4	57	TASK	2	0.894529679280367	2	RIGHT	28	1	0	1	66	419.515518537719	418.520805098703	419.515518537719
429.51271397572	4	58	TASK	2	1.40236511028024	2	RIGHT	28	1	0	1	48	430.50748527872	429.51271397572	430.50748527872
443.505634698211	4	59	TASK	2	0.628762213788377	2	RIGHT	28	1	0	1	99	444.516932105211	443.505634698211	444.516932105211
448.03167868372	4	60	TASK	2	0.705672187788878	1	LEFT	5	1	0	1	98	449.009928456211	448.03167868372	449.009928456211
453.02204859872	4	61	TASK	2	0.597491414788692	2	RIGHT	28	1	0	1	62	454.016840563211	453.02204859872	454.016840563211
459.521148856211	2	62	CONTROL	1	1.49069317878866	1	LEFT	5	1	1	0	0	459.537680456211	459.521148856211	459.537680456211
465.008849418211	4	63	TASK	2	0.94263643928025	1	LEFT	5	1	0	1	102	466.02011531472	465.008849418211	466.02011531472
473.514001533703	4	64	TASK	2	0.838913036935082	2	RIGHT	28	1	0	1	82	474.508776801065	473.514001533703	474.508776801065
